date,value,yoy_pct
1947-01-01,11.2894,
1947-02-01,11.5179,
1947-03-01,11.7667,
1947-04-01,12.0269,
1947-05-01,12.2788,
1947-06-01,12.4832,
1947-07-01,12.78,
1947-08-01,13.0822,
1947-09-01,13.3523,
1947-10-01,13.6287,
1947-11-01,13.8998,
1947-12-01,14.2053,
1948-01-01,14.4049,27.6
1948-02-01,14.5635,26.44
1948-03-01,14.7454,25.31
1948-04-01,14.9301,24.14
1948-05-01,15.0976,22.96
1948-06-01,15.2158,21.89
1948-07-01,15.2705,19.49
1948-08-01,15.212,16.28
1948-09-01,15.1478,13.45
1948-10-01,15.0945,10.76
1948-11-01,15.0462,8.25
1948-12-01,15.0348,5.84
1949-01-01,14.9254,3.61
1949-02-01,14.7874,1.54
1949-03-01,14.6621,-0.56
1949-04-01,14.5149,-2.78
1949-05-01,14.3455,-4.98
1949-06-01,14.1386,-7.08
1949-07-01,14.0212,-8.18
1949-08-01,13.923,-8.47
1949-09-01,13.8246,-8.74
1949-10-01,13.7376,-8.99
1949-11-01,13.6548,-9.25
1949-12-01,13.5957,-9.57
1950-01-01,13.6493,-8.55
1950-02-01,13.7957,-6.71
1950-03-01,13.9531,-4.84
1950-04-01,14.1119,-2.78
1950-05-01,14.2519,-0.65
1950-06-01,14.388,1.76
1950-07-01,14.7712,5.35
1950-08-01,15.2975,9.87
1950-09-01,15.8075,14.34
1950-10-01,16.3104,18.73
1950-11-01,16.8092,23.1
1950-12-01,17.3061,27.29
1951-01-01,17.7542,30.07
1951-02-01,18.1862,31.83
1951-03-01,18.6363,33.56
1951-04-01,19.1031,35.37
1951-05-01,19.5512,37.18
1951-06-01,20.0031,39.03
1951-07-01,20.2509,37.1
1951-08-01,20.3672,33.14
1951-09-01,20.4775,29.54
1951-10-01,20.6053,26.33
1951-11-01,20.7329,23.34
1951-12-01,20.9657,21.15
1952-01-01,22.1319,24.66
1952-02-01,22.4316,23.34
1952-03-01,22.3763,20.07
1952-04-01,22.138,15.89
1952-05-01,21.9293,12.16
1952-06-01,22.0525,10.25
1952-07-01,22.1461,9.36
1952-08-01,22.3937,9.95
1952-09-01,22.6967,10.84
1952-10-01,23.0685,11.95
1952-11-01,23.4435,13.07
1952-12-01,23.23,10.8
1953-01-01,23.4687,6.04
1953-02-01,23.6226,5.31
1953-03-01,23.6983,5.91
1953-04-01,23.8228,7.61
1953-05-01,23.8827,8.91
1953-06-01,23.7607,7.75
1953-07-01,23.7782,7.37
1953-08-01,23.9951,7.15
1953-09-01,24.0138,5.8
1953-10-01,23.9825,3.96
