date,value
2000-08-29,1206.0
2000-09-05,382.0
2000-09-12,1174.0
2000-09-19,-4237.0
2000-09-26,149.0
2000-10-03,3393.0
2000-10-10,5403.0
2000-10-17,1720.0
2000-10-24,1833.0
2000-10-31,2173.0
2000-11-07,3778.0
2000-11-14,2735.0
2000-11-21,5908.0
2000-11-28,6941.0
2000-12-05,16028.0
2000-12-12,19532.0
2000-12-19,21814.0
2000-12-26,26380.0
2001-01-02,27074.0
2001-01-09,23832.0
2001-01-16,20735.0
2001-01-23,17242.0
2001-01-30,16160.0
2001-02-06,14335.0
2001-02-13,14702.0
2001-02-20,10002.0
2001-02-27,9513.0
2001-03-06,17064.0
2001-03-13,7827.0
2001-03-20,2613.0
2001-03-27,3884.0
2001-04-03,6775.0
2001-04-10,5745.0
2001-04-17,4993.0
2001-04-24,7303.0
2001-05-01,6044.0
2001-05-08,4354.0
2001-05-15,3408.0
2001-05-22,-5453.0
2001-05-29,-2931.0
2001-06-05,-4813.0
2001-06-12,-4588.0
2001-06-19,3633.0
2001-06-26,3175.0
2001-07-03,3246.0
2001-07-10,6651.0
2001-07-17,9043.0
2001-07-24,14291.0
2001-07-31,16083.0
2001-08-07,16640.0
2001-08-14,24353.0
2001-08-21,28970.0
2001-08-28,29505.0
2001-09-04,21821.0
2001-09-10,17849.0
2001-09-18,24437.0
2001-09-25,27848.0
2001-10-02,24952.0
2001-10-09,22441.0
2001-10-16,17616.0
2001-10-23,9390.0
2001-10-30,16686.0
2001-11-06,15352.0
2001-11-13,484.0
2001-11-20,-286.0
2001-11-27,915.0
2001-12-04,13846.0
2001-12-11,11906.0
2001-12-18,11871.0
2001-12-21,11422.0
2001-12-28,11182.0
2002-01-08,14773.0
2002-01-15,12096.0
2002-01-22,17289.0
2002-01-29,855.0
2002-02-05,2323.0
2002-02-12,3254.0
2002-02-19,8647.0
2002-02-26,3133.0
2002-03-05,6288.0
2002-03-12,15461.0
2002-03-19,21256.0
2002-03-26,23293.0
2002-04-02,26158.0
2002-04-09,19441.0
2002-04-16,27627.0
2002-04-23,29623.0
2002-04-30,31472.0
2002-05-07,35433.0
2002-05-14,34600.0
2002-05-21,31173.0
2002-05-28,31725.0
2002-06-04,31616.0
2002-06-11,28367.0
2002-06-18,29457.0
2002-06-25,22524.0
2002-07-02,24395.0
2002-07-09,24082.0
2002-07-16,26654.0
2002-07-23,25678.0
2002-07-30,25483.0
2002-08-06,20022.0
2002-08-13,19782.0
2002-08-20,17863.0
2002-08-27,22088.0
2002-09-03,25238.0
2002-09-10,20351.0
2002-09-17,12610.0
2002-09-24,14602.0
2002-10-01,16937.0
2002-10-08,12652.0
2002-10-15,21032.0
2002-10-22,14068.0
2002-10-29,19325.0
2002-11-05,31037.0
2002-11-12,33277.0
2002-11-19,30205.0
2002-11-26,28776.0
2002-12-03,22876.0
2002-12-10,28064.0
2002-12-17,30601.0
2002-12-23,28127.0
2002-12-31,29010.0
2003-01-07,28157.0
2003-01-14,28773.0
2003-01-21,28442.0
2003-01-28,26336.0
2003-02-04,30666.0
2003-02-11,22298.0
2003-02-18,25485.0
2003-02-25,20063.0
2003-03-04,29975.0
2003-03-11,30266.0
2003-03-18,13339.0
2003-03-25,7594.0
2003-04-01,10564.0
2003-04-08,13145.0
2003-04-15,14205.0
2003-04-22,24387.0
2003-04-29,28005.0
2003-05-06,31970.0
2003-05-13,24903.0
2003-05-20,26898.0
2003-05-27,24113.0
2003-06-03,30033.0
2003-06-10,26262.0
2003-06-17,28123.0
2003-06-24,23470.0
2003-07-01,23630.0
2003-07-08,19161.0
2003-07-15,16195.0
2003-07-22,13153.0
2003-07-29,12420.0
2003-08-05,13889.0
2003-08-12,14702.0
2003-08-19,9121.0
2003-08-26,2673.0
2003-09-02,2129.0
2003-09-09,2505.0
2003-09-16,4724.0
2003-09-23,8777.0
2003-09-30,13649.0
2003-10-07,20025.0
2003-10-14,24994.0
2003-10-21,24113.0
2003-10-28,24205.0
2003-11-04,19573.0
2003-11-11,17919.0
2003-11-18,34546.0
2003-11-25,30497.0
2003-12-02,30680.0
2003-12-09,27998.0
2003-12-16,34783.0
2003-12-22,33708.0
2003-12-30,33556.0
2004-01-06,29910.0
2004-01-13,26937.0
2004-01-20,28243.0
2004-01-27,33298.0
2004-02-03,20446.0
2004-02-10,26242.0
2004-02-17,28409.0
2004-02-24,26367.0
2004-03-02,17028.0
2004-03-09,14065.0
2004-03-16,8454.0
2004-03-23,10293.0
2004-03-30,6174.0
2004-04-06,6017.0
2004-04-12,5743.0
2004-04-20,9799.0
2004-04-27,5570.0
2004-05-04,6999.0
2004-05-11,12478.0
2004-05-18,13422.0
2004-05-25,18714.0
2004-06-01,22194.0
2004-06-08,23474.0
2004-06-15,16588.0
2004-06-22,12079.0
2004-06-29,13755.0
2004-07-06,19037.0
2004-07-13,31012.0
2004-07-20,36101.0
2004-07-27,16927.0
2004-08-03,12242.0
2004-08-10,16857.0
2004-08-17,25699.0
2004-08-24,24616.0
2004-08-31,20827.0
2004-09-07,18032.0
2004-09-14,25858.0
2004-09-21,25447.0
2004-09-28,32334.0
2004-10-05,44811.0
2004-10-12,38095.0
2004-10-19,36512.0
2004-10-26,45531.0
2004-11-02,53465.0
2004-11-09,57529.0
2004-11-16,54028.0
2004-11-23,32261.0
2004-11-30,24485.0
2004-12-07,24114.0
2004-12-14,-14542.0
2004-12-21,-12164.0
2004-12-28,16814.0
2005-01-04,11071.0
2005-01-11,16181.0
2005-01-18,9913.0
2005-01-25,768.0
2005-02-01,1925.0
2005-02-08,-631.0
2005-02-15,-245.0
2005-02-22,4024.0
2005-03-01,33418.0
2005-03-08,22590.0
2005-03-15,29912.0
2005-03-22,27199.0
2005-03-29,17753.0
2005-04-05,6898.0
2005-04-12,5760.0
2005-04-19,5021.0
2005-04-26,4219.0
2005-05-03,4875.0
2005-05-10,-1544.0
2005-05-17,-13488.0
2005-05-24,-15321.0
2005-05-31,-18310.0
2005-06-07,-17771.0
2005-06-14,-19665.0
2005-06-21,-21282.0
2005-06-28,-14241.0
2005-07-05,-24872.0
2005-07-12,-7848.0
2005-07-19,-11870.0
2005-07-26,-8296.0
2005-08-02,-191.0
2005-08-09,4231.0
2005-08-16,584.0
2005-08-23,-5766.0
2005-08-30,-3619.0
2005-09-06,23518.0
2005-09-13,7585.0
2005-09-20,-1428.0
2005-09-27,-1603.0
2005-10-04,-1898.0
2005-10-11,4792.0
2005-10-18,855.0
2005-10-25,-2558.0
2005-11-01,6998.0
2005-11-08,-6627.0
2005-11-15,-13222.0
2005-11-22,-11127.0
2005-11-29,-18132.0
2005-12-06,-22572.0
2005-12-13,-1063.0
2005-12-20,4504.0
2005-12-27,4578.0
2006-01-03,11231.0
2006-01-10,21961.0
2006-01-17,21211.0
2006-01-24,37464.0
2006-01-31,36382.0
2006-02-07,18965.0
2006-02-14,11956.0
2006-02-21,10085.0
2006-02-28,18402.0
2006-03-07,13878.0
2006-03-14,27984.0
2006-03-21,41452.0
2006-03-28,40811.0
2006-04-04,52392.0
2006-04-11,41630.0
2006-04-18,55342.0
2006-04-25,65525.0
2006-05-02,74474.0
2006-05-09,72911.0
2006-05-16,73376.0
2006-05-23,72076.0
2006-05-30,79884.0
2006-06-06,88196.0
2006-06-13,61846.0
2006-06-20,52490.0
2006-06-27,64670.0
2006-07-03,68545.0
2006-07-11,77895.0
2006-07-18,51694.0
2006-07-25,50301.0
2006-08-01,73429.0
2006-08-08,92108.0
2006-08-15,90204.0
2006-08-22,81470.0
2006-08-29,79637.0
2006-09-05,75016.0
2006-09-12,66717.0
2006-09-19,51114.0
2006-09-26,49942.0
2006-10-03,56217.0
2006-10-10,36528.0
2006-10-17,26592.0
2006-10-24,27151.0
2006-10-31,60048.0
2006-11-07,68925.0
2006-11-14,60475.0
2006-11-21,65306.0
2006-11-28,89594.0
2006-12-05,98265.0
2006-12-12,96683.0
2006-12-19,91970.0
2006-12-26,79970.0
2007-01-03,77456.0
2007-01-09,75172.0
2007-01-16,53542.0
2007-01-23,61010.0
2007-01-30,62579.0
2007-02-06,45330.0
2007-02-13,83795.0
2007-02-20,99326.0
2007-02-27,102598.0
2007-03-06,88679.0
2007-03-13,96155.0
2007-03-20,87956.0
2007-03-27,93741.0
2007-04-03,95078.0
2007-04-10,104394.0
2007-04-17,106770.0
2007-04-24,111282.0
2007-05-01,106688.0
2007-05-08,105270.0
2007-05-15,119538.0
2007-05-22,95287.0
2007-05-29,94319.0
2007-06-05,84965.0
2007-06-12,50638.0
2007-06-19,46341.0
2007-06-26,67433.0
2007-07-03,76524.0
2007-07-10,102896.0
2007-07-17,99185.0
2007-07-24,96415.0
2007-07-31,78453.0
2007-08-07,79029.0
2007-08-14,64674.0
2007-08-21,38463.0
2007-08-28,42826.0
2007-09-04,46645.0
2007-09-11,58214.0
2007-09-18,86049.0
2007-09-25,83448.0
2007-10-02,94440.0
2007-10-09,87166.0
2007-10-16,86604.0
2007-10-23,69016.0
2007-10-30,68848.0
2007-11-06,76048.0
2007-11-13,69429.0
2007-11-20,70028.0
2007-11-27,66556.0
2007-12-04,69117.0
2007-12-11,63374.0
2007-12-18,31149.0
2007-12-24,30641.0
2007-12-31,36655.0
2008-01-08,51902.0
2008-01-15,44982.0
2008-01-22,23745.0
2008-01-29,22456.0
2008-02-05,12564.0
2008-02-12,10295.0
2008-02-19,14730.0
2008-02-26,31778.0
