date,value
1986-01-15,10883.0
1986-01-31,6061.0
1986-02-14,-6772.0
1986-02-28,-4231.0
1986-03-14,1622.0
1986-03-31,-1589.0
1986-04-15,-13611.0
1986-04-30,-2360.0
1986-05-15,-5726.0
1986-05-30,-8701.0
1986-06-13,818.0
1986-06-30,-8270.0
1986-07-15,-5248.0
1986-07-31,9077.0
1986-08-15,12645.0
1986-08-29,12938.0
1986-09-15,14384.0
1986-09-30,14581.0
1986-10-15,11035.0
1986-10-31,3300.0
1986-11-14,3911.0
1986-11-28,1299.0
1986-12-15,2062.0
1986-12-31,1058.0
1987-01-15,5916.0
1987-01-30,4431.0
1987-02-13,-6319.0
1987-02-27,-4924.0
1987-03-13,389.0
1987-03-31,8388.0
1987-04-15,18254.0
1987-04-30,11751.0
1987-05-15,26703.0
1987-05-29,15562.0
1987-06-15,8481.0
1987-06-30,3855.0
1987-07-15,8618.0
1987-07-31,17088.0
1987-08-14,8210.0
1987-08-31,524.0
1987-09-15,3947.0
1987-09-30,7102.0
1987-10-15,12747.0
1987-10-30,5827.0
1987-11-13,1440.0
1987-11-30,15817.0
1987-12-15,11621.0
1987-12-31,5169.0
1988-01-15,3481.0
1988-01-29,-9234.0
1988-02-12,-22871.0
1988-02-29,-25740.0
1988-03-15,-17447.0
1988-03-31,-18622.0
1988-04-15,-18950.0
1988-04-29,-17099.0
1988-05-13,-8567.0
1988-05-31,-2747.0
1988-06-15,-3270.0
1988-06-30,-18368.0
1988-07-15,-14092.0
1988-07-29,-14919.0
1988-08-15,-13787.0
1988-08-31,-13510.0
1988-09-15,-23935.0
1988-09-30,-28637.0
1988-10-14,-29270.0
1988-10-31,-26977.0
1988-11-15,-7771.0
1988-11-30,-11746.0
1988-12-15,-12203.0
1988-12-30,-14963.0
1989-01-13,-24161.0
1989-01-31,-32902.0
1989-02-15,-27002.0
1989-02-28,-28038.0
1989-03-15,-19328.0
1989-03-31,-30525.0
1989-04-14,-22922.0
1989-04-28,-30472.0
1989-05-15,-24235.0
1989-05-31,-25471.0
1989-06-15,-18132.0
1989-06-30,-13081.0
1989-07-14,-11791.0
1989-07-31,-14891.0
1989-08-15,-14197.0
1989-08-31,-25374.0
1989-09-15,-13811.0
1989-09-29,-11668.0
1989-10-13,-16561.0
1989-10-31,2799.0
1989-11-15,13236.0
1989-11-30,17936.0
1989-12-15,21925.0
1989-12-29,14401.0
1990-01-15,16544.0
1990-01-31,6373.0
1990-02-15,14750.0
1990-02-28,2976.0
1990-03-15,-4336.0
1990-03-30,-12049.0
1990-04-12,-14071.0
1990-04-30,-14268.0
1990-05-15,-14106.0
1990-05-31,-13477.0
1990-06-15,-22342.0
1990-06-29,-15874.0
1990-07-13,-9336.0
1990-07-31,2141.0
1990-08-15,16308.0
1990-08-31,10295.0
1990-09-14,6057.0
1990-09-28,21497.0
1990-10-15,8731.0
1990-10-31,1582.0
1990-11-15,-2311.0
1990-11-30,1129.0
1990-12-14,-5751.0
1990-12-31,4802.0
1991-01-15,11526.0
1991-01-31,-12258.0
1991-02-15,-14365.0
1991-02-28,-14835.0
1991-03-15,-11757.0
1991-03-28,-19484.0
1991-04-15,-14161.0
1991-04-30,-21410.0
1991-05-15,-10501.0
1991-05-31,-9315.0
1991-06-14,7867.0
1991-06-28,9293.0
1991-07-15,10568.0
1991-07-31,-2805.0
1991-08-15,-14900.0
1991-08-30,-24627.0
1991-09-16,-22133.0
1991-09-30,-11352.0
1991-10-15,1630.0
1991-10-31,3563.0
1991-11-15,-2940.0
1991-11-29,28240.0
1991-12-13,10479.0
1991-12-31,-4602.0
1992-01-15,-4495.0
1992-01-31,913.0
1992-02-14,488.0
1992-02-28,-6227.0
1992-03-13,-14555.0
1992-03-31,-12612.0
1992-04-15,-25112.0
1992-04-30,-17979.0
1992-05-15,-8315.0
1992-05-29,-15869.0
1992-06-15,6388.0
1992-06-30,3661.0
1992-07-15,24150.0
1992-07-31,25413.0
1992-08-14,-13219.0
1992-08-31,-13651.0
1992-09-15,-8425.0
1992-09-30,-2500.0
1992-10-06,-1977.0
1992-10-13,-4698.0
1992-10-20,-8436.0
1992-10-27,-15305.0
1992-11-03,-17428.0
1992-11-10,-22040.0
1992-11-17,-21220.0
1992-11-24,-20429.0
1992-12-01,-22163.0
1992-12-08,-18698.0
