date,value
2000-08-29,-12975.0
2000-09-05,-7102.0
2000-09-12,6334.0
2000-09-19,-3832.0
2000-09-26,-4226.0
2000-10-03,-13767.0
2000-10-10,-30088.0
2000-10-17,-29327.0
2000-10-24,-27811.0
2000-10-31,-27079.0
2000-11-07,-23877.0
2000-11-14,-22570.0
2000-11-21,-35072.0
2000-11-28,-33330.0
2000-12-05,-32449.0
2000-12-12,-41696.0
2000-12-19,-38233.0
2000-12-26,-42620.0
2001-01-02,-41419.0
2001-01-09,-40138.0
2001-01-16,-33870.0
2001-01-23,-29212.0
2001-01-30,-25200.0
2001-02-06,-26036.0
2001-02-13,-27474.0
2001-02-20,-27060.0
2001-02-27,-27537.0
2001-03-06,-31507.0
2001-03-13,-18307.0
2001-03-20,-581.0
2001-03-27,3487.0
2001-04-03,1751.0
2001-04-10,1921.0
2001-04-17,-25586.0
2001-04-24,-23460.0
2001-05-01,-5713.0
2001-05-08,-2919.0
2001-05-15,-2315.0
2001-05-22,-27048.0
2001-05-29,-10164.0
2001-06-05,5263.0
2001-06-12,2715.0
2001-06-19,-15866.0
2001-06-26,-24586.0
2001-07-03,-32380.0
2001-07-10,-24090.0
2001-07-17,-9954.0
2001-07-24,-1229.0
2001-07-31,-4435.0
2001-08-07,1428.0
2001-08-14,11558.0
2001-08-21,30611.0
2001-08-28,30180.0
2001-09-04,32511.0
2001-09-10,23493.0
2001-09-18,28439.0
2001-09-25,30365.0
2001-10-02,13509.0
2001-10-09,10268.0
2001-10-16,-1114.0
2001-10-23,-21784.0
2001-10-30,-27345.0
2001-11-06,-13914.0
2001-11-13,-4231.0
2001-11-20,-18886.0
2001-11-27,-21630.0
2001-12-04,-8418.0
2001-12-11,-4258.0
2001-12-18,-1935.0
2001-12-21,-4321.0
2001-12-28,866.0
2002-01-08,-3530.0
2002-01-15,-2603.0
2002-01-22,-14401.0
2002-01-29,-6343.0
2002-02-05,-4016.0
2002-02-12,-7781.0
2002-02-19,-12332.0
2002-02-26,-19812.0
2002-03-05,-13646.0
2002-03-12,6898.0
2002-03-19,-1127.0
2002-03-26,-4360.0
2002-04-02,-9257.0
2002-04-09,-10841.0
2002-04-16,-8751.0
2002-04-23,-726.0
2002-04-30,5654.0
2002-05-07,6514.0
2002-05-14,2814.0
2002-05-21,13862.0
2002-05-28,12174.0
2002-06-04,8375.0
2002-06-11,6075.0
2002-06-18,9469.0
2002-06-25,10609.0
2002-07-02,9046.0
2002-07-09,10200.0
2002-07-16,11221.0
2002-07-23,9863.0
2002-07-30,3852.0
2002-08-06,706.0
2002-08-13,3664.0
2002-08-20,3412.0
2002-08-27,4351.0
2002-09-03,6641.0
2002-09-10,3220.0
2002-09-17,-16374.0
2002-09-24,-18080.0
2002-10-01,-15313.0
2002-10-08,-13241.0
2002-10-15,-12830.0
2002-10-22,-14934.0
2002-10-29,-8264.0
2002-11-05,-4696.0
2002-11-12,-427.0
2002-11-19,-2891.0
2002-11-26,-4464.0
2002-12-03,-9903.0
2002-12-10,-12210.0
2002-12-17,-706.0
2002-12-23,3807.0
2002-12-31,28134.0
2003-01-07,27227.0
2003-01-14,32944.0
2003-01-21,33293.0
2003-01-28,25610.0
2003-02-04,5594.0
2003-02-11,10709.0
2003-02-18,18433.0
2003-02-25,35754.0
2003-03-04,32032.0
2003-03-11,36219.0
2003-03-18,23318.0
2003-03-25,-12983.0
2003-04-01,-3903.0
2003-04-08,-5634.0
2003-04-15,-9417.0
2003-04-22,-4183.0
2003-04-29,-10180.0
2003-05-06,2668.0
2003-05-13,29462.0
2003-05-20,29770.0
