date,value
2022-02-08,177587.0
2022-02-15,195123.0
2022-02-22,236443.0
2022-03-01,161019.0
2022-03-08,127653.0
2022-03-15,102201.0
2022-03-22,-54168.0
2022-03-29,-50855.0
2022-04-05,-31659.0
2022-04-12,62964.0
2022-04-19,68429.0
2022-04-26,122750.0
2022-05-03,52207.0
2022-05-10,121775.0
2022-05-17,66646.0
2022-05-24,48888.0
2022-05-31,21907.0
2022-06-07,-17024.0
2022-06-14,34278.0
2022-06-21,-114319.0
2022-06-28,-139226.0
2022-07-05,-183682.0
2022-07-12,-215528.0
2022-07-19,-208148.0
2022-07-26,-237635.0
2022-08-02,-231885.0
2022-08-09,-244261.0
2022-08-16,-287984.0
2022-08-23,-262276.0
2022-08-30,-239632.0
2022-09-06,-238720.0
2022-09-13,-281004.0
2022-09-20,-219451.0
2022-09-27,-150201.0
2022-10-04,-209297.0
2022-10-11,-164057.0
2022-10-18,-223198.0
2022-10-25,-219102.0
2022-11-01,-175063.0
2022-11-08,-177059.0
2022-11-15,-202645.0
2022-11-22,-191492.0
2022-11-29,-204176.0
2022-12-06,-203719.0
2022-12-13,-230122.0
2022-12-20,-159752.0
2022-12-27,-174281.0
2023-01-03,-167301.0
2023-01-10,-213174.0
2023-01-17,-226818.0
2023-01-24,-208991.0
2023-01-31,-222257.0
2023-02-07,-217545.0
2023-02-14,-246454.0
2023-02-21,-234291.0
2023-02-28,-183891.0
2023-03-07,-209482.0
2023-03-14,-119819.0
2023-03-21,-202480.0
2023-03-28,-224656.0
2023-04-04,-321459.0
2023-04-11,-307612.0
2023-04-18,-344257.0
2023-04-25,-363267.0
2023-05-02,-355411.0
2023-05-09,-376023.0
2023-05-16,-388721.0
2023-05-23,-404292.0
2023-05-30,-434170.0
2023-06-06,-344531.0
2023-06-13,-331413.0
2023-06-20,-239331.0
2023-06-27,-208250.0
2023-07-03,-207239.0
2023-07-11,-208979.0
2023-07-18,-263685.0
2023-07-25,-232615.0
2023-08-01,-200048.0
2023-08-08,-159570.0
2023-08-15,-118408.0
2023-08-22,-133491.0
2023-08-29,-142106.0
2023-09-05,-144211.0
2023-09-12,-116333.0
2023-09-19,-138991.0
2023-09-26,-89281.0
2023-10-03,-73235.0
2023-10-10,-94449.0
2023-10-17,-63178.0
2023-10-24,10185.0
2023-10-31,4337.0
2023-11-07,-53421.0
2023-11-14,-52833.0
2023-11-21,-80080.0
2023-11-28,-65027.0
2023-12-05,-47261.0
2023-12-12,-65083.0
2023-12-19,-195395.0
2023-12-26,-192462.0
2024-01-02,-214088.0
2024-01-09,-117049.0
2024-01-16,-169246.0
2024-01-23,-189473.0
2024-01-30,-225962.0
2024-02-06,-232962.0
2024-02-13,-215778.0
2024-02-20,-218530.0
2024-02-27,-224223.0
2024-03-05,-204440.0
2024-03-12,-239827.0
2024-03-19,-194169.0
2024-03-26,-169439.0
2024-04-02,-78122.0
2024-04-09,-62914.0
2024-04-16,74114.0
2024-04-23,67678.0
2024-04-30,43133.0
2024-05-07,-9695.0
2024-05-14,-25284.0
2024-05-21,-22774.0
2024-05-28,-2208.0
2024-06-04,-65000.0
2024-06-11,-111414.0
2024-06-18,-114110.0
2024-06-25,-65247.0
2024-07-02,-11808.0
2024-07-09,-55011.0
2024-07-16,-65444.0
2024-07-23,-13221.0
2024-07-30,11956.0
2024-08-06,33990.0
2024-08-13,-23451.0
2024-08-20,-84803.0
2024-08-27,-81908.0
2024-09-03,-48819.0
2024-09-10,-59388.0
2024-09-17,-122948.0
2024-09-24,-35753.0
2024-10-01,7545.0
2024-10-08,-5644.0
2024-10-15,28135.0
2024-10-22,22981.0
2024-10-29,62698.0
