date,value,yoy_pct
1996-12-01,55.74,
1997-01-01,55.91,
1997-02-01,56.03,
1997-03-01,56.1,
1997-04-01,56.09,
1997-05-01,56.25,
1997-06-01,56.27,
1997-07-01,56.3,
1997-08-01,56.4,
1997-09-01,56.45,
1997-10-01,56.48,
1997-11-01,56.56,
1997-12-01,56.63,1.6
1998-01-01,56.58,1.2
1998-02-01,56.73,1.25
1998-03-01,56.8,1.25
1998-04-01,56.94,1.52
1998-05-01,57.06,1.44
1998-06-01,57.09,1.46
1998-07-01,57.09,1.4
1998-08-01,57.11,1.26
1998-09-01,57.09,1.13
1998-10-01,57.08,1.06
1998-11-01,57.08,0.92
1998-12-01,57.11,0.85
1999-01-01,57.07,0.87
1999-02-01,57.2,0.83
1999-03-01,57.38,1.02
1999-04-01,57.59,1.14
1999-05-01,57.63,1.0
1999-06-01,57.62,0.93
1999-07-01,57.71,1.09
1999-08-01,57.78,1.17
1999-09-01,57.83,1.3
1999-10-01,57.86,1.37
1999-11-01,57.94,1.51
1999-12-01,58.15,1.82
2000-01-01,58.17,1.93
2000-02-01,58.36,2.03
2000-03-01,58.57,2.07
2000-04-01,58.62,1.79
2000-05-01,58.7,1.86
2000-06-01,58.9,2.22
2000-07-01,58.95,2.15
2000-08-01,59.0,2.11
2000-09-01,59.26,2.47
2000-10-01,59.29,2.47
2000-11-01,59.41,2.54
2000-12-01,59.64,2.56
2001-01-01,59.39,2.1
2001-02-01,59.57,2.07
2001-03-01,59.89,2.25
2001-04-01,60.25,2.78
2001-05-01,60.53,3.12
2001-06-01,60.63,2.94
2001-07-01,60.49,2.61
2001-08-01,60.44,2.44
2001-09-01,60.6,2.26
2001-10-01,60.66,2.31
2001-11-01,60.62,2.04
2001-12-01,60.89,2.1
2002-01-01,60.96,2.64
2002-02-01,61.06,2.5
2002-03-01,61.4,2.52
2002-04-01,61.68,2.37
2002-05-01,61.79,2.08
2002-06-01,61.77,1.88
2002-07-01,61.7,2.0
2002-08-01,61.75,2.17
2002-09-01,61.9,2.15
2002-10-01,62.05,2.29
2002-11-01,62.0,2.28
2002-12-01,62.3,2.32
2003-01-01,62.27,2.15
2003-02-01,62.52,2.39
2003-03-01,62.88,2.41
2003-04-01,62.98,2.11
2003-05-01,62.94,1.86
2003-06-01,63.02,2.02
2003-07-01,62.92,1.98
2003-08-01,63.02,2.06
2003-09-01,63.24,2.16
2003-10-01,63.34,2.08
2003-11-01,63.36,2.19
2003-12-01,63.56,2.02
2004-01-01,63.42,1.85
2004-02-01,63.57,1.68
2004-03-01,63.97,1.73
2004-04-01,64.3,2.1
2004-05-01,64.5,2.48
2004-06-01,64.54,2.41
2004-07-01,64.4,2.35
2004-08-01,64.53,2.4
2004-09-01,64.6,2.15
2004-10-01,64.85,2.38
2004-11-01,64.81,2.29
2004-12-01,65.05,2.34
2005-01-01,64.65,1.94
2005-02-01,64.89,2.08
2005-03-01,65.37,2.19
2005-04-01,65.64,2.08
2005-05-01,65.78,1.98
2005-06-01,65.86,2.05
2005-07-01,65.78,2.14
2005-08-01,65.94,2.19
2005-09-01,66.28,2.6
2005-10-01,66.45,2.47
2005-11-01,66.31,2.31
2005-12-01,66.53,2.28
2006-01-01,66.24,2.46
2006-02-01,66.42,2.36
2006-03-01,66.81,2.2
2006-04-01,67.25,2.45
2006-05-01,67.44,2.52
2006-06-01,67.49,2.47
2006-07-01,67.41,2.48
2006-08-01,67.47,2.32
2006-09-01,67.47,1.8
2006-10-01,67.53,1.63
2006-11-01,67.55,1.87
2006-12-01,67.81,1.92
2007-01-01,67.47,1.86
2007-02-01,67.67,1.88
2007-03-01,68.12,1.96
2007-04-01,68.55,1.93
2007-05-01,68.71,1.88
2007-06-01,68.78,1.91
2007-07-01,68.62,1.79
2007-08-01,68.67,1.78
2007-09-01,68.93,2.16
2007-10-01,69.27,2.58
2007-11-01,69.65,3.11
2007-12-01,69.92,3.11
2008-01-01,69.68,3.28
2008-02-01,69.92,3.32
2008-03-01,70.61,3.66
2008-04-01,70.84,3.34
2008-05-01,71.28,3.74
2008-06-01,71.56,4.04
2008-07-01,71.45,4.12
2008-08-01,71.35,3.9
2008-09-01,71.49,3.71
2008-10-01,71.51,3.23
2008-11-01,71.17,2.18
2008-12-01,71.08,1.66
2009-01-01,70.5,1.18
2009-02-01,70.79,1.24
2009-03-01,71.05,0.62
2009-04-01,71.3,0.65
2009-05-01,71.34,0.08
2009-06-01,71.48,-0.11
2009-07-01,71.01,-0.62
2009-08-01,71.25,-0.14
2009-09-01,71.26,-0.32
2009-10-01,71.42,-0.13
2009-11-01,71.51,0.48
2009-12-01,71.73,0.91
2010-01-01,71.15,0.92
2010-02-01,71.37,0.82
2010-03-01,72.16,1.56
2010-04-01,72.45,1.61
2010-05-01,72.54,1.68
2010-06-01,72.54,1.48
2010-07-01,72.23,1.72
