date,value,yoy_pct
1957-01-01,28.5,
1957-02-01,28.6,
1957-03-01,28.7,
1957-04-01,28.8,
1957-05-01,28.8,
1957-06-01,28.9,
1957-07-01,29.0,
1957-08-01,29.0,
1957-09-01,29.1,
1957-10-01,29.2,
1957-11-01,29.3,
1957-12-01,29.3,
1958-01-01,29.3,2.81
1958-02-01,29.4,2.8
1958-03-01,29.5,2.79
1958-04-01,29.5,2.43
1958-05-01,29.5,2.43
1958-06-01,29.6,2.42
1958-07-01,29.6,2.07
1958-08-01,29.6,2.07
1958-09-01,29.7,2.06
1958-10-01,29.7,1.71
1958-11-01,29.8,1.71
1958-12-01,29.9,2.05
1959-01-01,29.9,2.05
1959-02-01,29.9,1.7
1959-03-01,30.0,1.69
1959-04-01,30.0,1.69
1959-05-01,30.1,2.03
1959-06-01,30.2,2.03
1959-07-01,30.2,2.03
1959-08-01,30.2,2.03
1959-09-01,30.3,2.02
1959-10-01,30.4,2.36
1959-11-01,30.4,2.01
1959-12-01,30.5,2.01
1960-01-01,30.5,2.01
1960-02-01,30.6,2.34
1960-03-01,30.6,2.0
1960-04-01,30.6,2.0
1960-05-01,30.6,1.66
1960-06-01,30.7,1.66
1960-07-01,30.6,1.32
1960-08-01,30.6,1.32
1960-09-01,30.6,0.99
1960-10-01,30.8,1.32
1960-11-01,30.8,1.32
1960-12-01,30.7,0.66
1961-01-01,30.8,0.98
1961-02-01,30.8,0.65
1961-03-01,30.9,0.98
1961-04-01,30.9,0.98
1961-05-01,30.9,0.98
1961-06-01,31.0,0.98
1961-07-01,31.0,1.31
1961-08-01,31.1,1.63
1961-09-01,31.1,1.63
1961-10-01,31.1,0.97
1961-11-01,31.2,1.3
1961-12-01,31.2,1.63
1962-01-01,31.2,1.3
1962-02-01,31.2,1.3
1962-03-01,31.3,1.29
1962-04-01,31.3,1.29
1962-05-01,31.4,1.62
1962-06-01,31.4,1.29
1962-07-01,31.4,1.29
1962-08-01,31.5,1.29
1962-09-01,31.5,1.29
1962-10-01,31.5,1.29
1962-11-01,31.5,0.96
1962-12-01,31.6,1.28
1963-01-01,31.5,0.96
1963-02-01,31.6,1.28
1963-03-01,31.7,1.28
1963-04-01,31.7,1.28
1963-05-01,31.7,0.96
1963-06-01,31.8,1.27
1963-07-01,31.8,1.27
1963-08-01,31.9,1.27
1963-09-01,31.9,1.27
1963-10-01,32.0,1.59
1963-11-01,32.0,1.59
1963-12-01,32.1,1.58
1964-01-01,32.2,2.22
1964-02-01,32.2,1.9
1964-03-01,32.2,1.58
1964-04-01,32.2,1.58
1964-05-01,32.2,1.58
1964-06-01,32.3,1.57
1964-07-01,32.3,1.57
1964-08-01,32.3,1.25
1964-09-01,32.3,1.25
1964-10-01,32.4,1.25
1964-11-01,32.5,1.56
1964-12-01,32.5,1.25
1965-01-01,32.6,1.24
1965-02-01,32.6,1.24
1965-03-01,32.6,1.24
1965-04-01,32.7,1.55
1965-05-01,32.7,1.55
1965-06-01,32.7,1.24
1965-07-01,32.7,1.24
1965-08-01,32.7,1.24
1965-09-01,32.8,1.55
1965-10-01,32.8,1.23
1965-11-01,32.9,1.23
1965-12-01,33.0,1.54
1966-01-01,33.0,1.23
1966-02-01,33.1,1.53
1966-03-01,33.1,1.53
1966-04-01,33.3,1.83
1966-05-01,33.4,2.14
1966-06-01,33.5,2.45
1966-07-01,33.6,2.75
1966-08-01,33.7,3.06
1966-09-01,33.8,3.05
1966-10-01,34.0,3.66
1966-11-01,34.0,3.34
1966-12-01,34.1,3.33
1967-01-01,34.2,3.64
1967-02-01,34.2,3.32
1967-03-01,34.3,3.63
1967-04-01,34.4,3.3
1967-05-01,34.5,3.29
1967-06-01,34.6,3.28
1967-07-01,34.7,3.27
1967-08-01,34.9,3.56
1967-09-01,35.0,3.55
1967-10-01,35.1,3.24
1967-11-01,35.2,3.53
1967-12-01,35.4,3.81
1968-01-01,35.5,3.8
1968-02-01,35.7,4.39
1968-03-01,35.8,4.37
1968-04-01,35.9,4.36
1968-05-01,36.0,4.35
1968-06-01,36.2,4.62
1968-07-01,36.4,4.9
1968-08-01,36.5,4.58
1968-09-01,36.7,4.86
1968-10-01,36.9,5.13
1968-11-01,37.1,5.4
1968-12-01,37.2,5.08
1969-01-01,37.3,5.07
1969-02-01,37.6,5.32
1969-03-01,37.8,5.59
1969-04-01,38.1,6.13
1969-05-01,38.1,5.83
1969-06-01,38.3,5.8
1969-07-01,38.5,5.77
1969-08-01,38.7,6.03
1969-09-01,38.9,5.99
1969-10-01,39.1,5.96
1969-11-01,39.2,5.66
1969-12-01,39.4,5.91
1970-01-01,39.6,6.17
1970-02-01,39.8,5.85
1970-03-01,40.1,6.08
1970-04-01,40.4,6.04
1970-05-01,40.5,6.3
1970-06-01,40.8,6.53
1970-07-01,40.9,6.23
1970-08-01,41.1,6.2
1970-09-01,41.3,6.17
1970-10-01,41.5,6.14
1970-11-01,41.8,6.63
1970-12-01,42.0,6.6
1971-01-01,42.1,6.31
1971-02-01,42.2,6.03
1971-03-01,42.2,5.24
1971-04-01,42.4,4.95
1971-05-01,42.6,5.19
1971-06-01,42.8,4.9
1971-07-01,42.9,4.89
1971-08-01,43.0,4.62
1971-09-01,43.0,4.12
1971-10-01,43.1,3.86
1971-11-01,43.2,3.35
1971-12-01,43.3,3.1
1972-01-01,43.5,3.33
1972-02-01,43.6,3.32
1972-03-01,43.6,3.32
1972-04-01,43.8,3.3
1972-05-01,43.9,3.05
1972-06-01,44.0,2.8
1972-07-01,44.1,2.8
1972-08-01,44.3,3.02
1972-09-01,44.3,3.02
1972-10-01,44.4,3.02
1972-11-01,44.4,2.78
1972-12-01,44.6,3.0
1973-01-01,44.6,2.53
1973-02-01,44.8,2.75
1973-03-01,45.0,3.21
1973-04-01,45.1,2.97
1973-05-01,45.3,3.19
1973-06-01,45.4,3.18
1973-07-01,45.5,3.17
1973-08-01,45.7,3.16
1973-09-01,46.0,3.84
1973-10-01,46.3,4.28
1973-11-01,46.5,4.73
1973-12-01,46.7,4.71
1974-01-01,46.9,5.16
1974-02-01,47.2,5.36
1974-03-01,47.6,5.78
1974-04-01,47.9,6.21
1974-05-01,48.5,7.06
1974-06-01,49.0,7.93
1974-07-01,49.5,8.79
1974-08-01,50.2,9.85
1974-09-01,50.7,10.22
1974-10-01,51.2,10.58
1974-11-01,51.6,10.97
1974-12-01,52.0,11.35
1975-01-01,52.3,11.51
1975-02-01,52.8,11.86
1975-03-01,53.0,11.34
1975-04-01,53.3,11.27
1975-05-01,53.5,10.31
1975-06-01,53.8,9.8
1975-07-01,54.0,9.09
1975-08-01,54.2,7.97
1975-09-01,54.5,7.5
1975-10-01,54.8,7.03
1975-11-01,55.2,6.98
1975-12-01,55.5,6.73
1976-01-01,55.9,6.88
1976-02-01,56.2,6.44
1976-03-01,56.5,6.6
1976-04-01,56.7,6.38
1976-05-01,57.0,6.54
1976-06-01,57.2,6.32
1976-07-01,57.6,6.67
1976-08-01,57.9,6.83
1976-09-01,58.2,6.79
1976-10-01,58.5,6.75
1976-11-01,58.7,6.34
1976-12-01,58.9,6.13
1977-01-01,59.3,6.08
1977-02-01,59.7,6.23
1977-03-01,60.0,6.19
1977-04-01,60.3,6.35
1977-05-01,60.6,6.32
1977-06-01,61.0,6.64
1977-07-01,61.2,6.25
1977-08-01,61.5,6.22
1977-09-01,61.8,6.19
1977-10-01,62.0,5.98
1977-11-01,62.3,6.13
1977-12-01,62.7,6.45
1978-01-01,63.1,6.41
1978-02-01,63.4,6.2
1978-03-01,63.8,6.33
1978-04-01,64.3,6.63
1978-05-01,64.7,6.77
1978-06-01,65.2,6.89
1978-07-01,65.6,7.19
1978-08-01,66.1,7.48
1978-09-01,66.7,7.93
1978-10-01,67.2,8.39
1978-11-01,67.6,8.51
1978-12-01,68.0,8.45
1979-01-01,68.5,8.56
1979-02-01,69.2,9.15
1979-03-01,69.8,9.4
1979-04-01,70.3,9.33
1979-05-01,70.8,9.43
1979-06-01,71.3,9.36
1979-07-01,71.9,9.6
1979-08-01,72.7,9.98
1979-09-01,73.3,9.9
1979-10-01,74.0,10.12
1979-11-01,74.8,10.65
1979-12-01,75.7,11.32
1980-01-01,76.7,11.97
1980-02-01,77.5,11.99
1980-03-01,78.6,12.61
1980-04-01,79.5,13.09
1980-05-01,80.1,13.14
1980-06-01,81.0,13.6
1980-07-01,80.8,12.38
1980-08-01,81.3,11.83
1980-09-01,82.1,12.01
1980-10-01,83.0,12.16
1980-11-01,83.9,12.17
1980-12-01,84.9,12.15
1981-01-01,85.4,11.34
1981-02-01,85.9,10.84
1981-03-01,86.4,9.92
1981-04-01,87.0,9.43
1981-05-01,87.8,9.61
1981-06-01,88.6,9.38
1981-07-01,89.8,11.14
1981-08-01,90.7,11.56
1981-09-01,91.8,11.81
1981-10-01,92.1,10.96
1981-11-01,92.5,10.25
1981-12-01,93.0,9.54
1982-01-01,93.3,9.25
1982-02-01,93.8,9.2
1982-03-01,93.9,8.68
1982-04-01,94.7,8.85
1982-05-01,95.4,8.66
1982-06-01,96.1,8.47
1982-07-01,96.7,7.68
1982-08-01,97.1,7.06
1982-09-01,97.2,5.88
1982-10-01,97.5,5.86
1982-11-01,97.3,5.19
1982-12-01,97.2,4.52
1983-01-01,97.6,4.61
1983-02-01,98.0,4.48
1983-03-01,98.2,4.58
1983-04-01,98.6,4.12
1983-05-01,98.9,3.67
1983-06-01,99.2,3.23
1983-07-01,99.8,3.21
1983-08-01,100.1,3.09
1983-09-01,100.5,3.4
1983-10-01,101.0,3.59
1983-11-01,101.5,4.32
1983-12-01,101.8,4.73
1984-01-01,102.5,5.02
1984-02-01,102.8,4.9
1984-03-01,103.2,5.09
1984-04-01,103.7,5.17
1984-05-01,104.1,5.26
1984-06-01,104.5,5.34
1984-07-01,105.0,5.21
1984-08-01,105.4,5.29
1984-09-01,105.8,5.27
1984-10-01,106.2,5.15
1984-11-01,106.4,4.83
1984-12-01,106.8,4.91
1985-01-01,107.1,4.49
1985-02-01,107.7,4.77
1985-03-01,108.1,4.75
1985-04-01,108.4,4.53
1985-05-01,108.8,4.51
1985-06-01,109.1,4.4
1985-07-01,109.4,4.19
1985-08-01,109.8,4.17
1985-09-01,110.0,3.97
1985-10-01,110.5,4.05
1985-11-01,111.1,4.42
1985-12-01,111.4,4.31
1986-01-01,111.9,4.48
1986-02-01,112.2,4.18
1986-03-01,112.5,4.07
1986-04-01,112.9,4.15
1986-05-01,113.1,3.95
1986-06-01,113.4,3.94
1986-07-01,113.8,4.02
1986-08-01,114.2,4.01
1986-09-01,114.6,4.18
1986-10-01,115.0,4.07
1986-11-01,115.3,3.78
1986-12-01,115.6,3.77
1987-01-01,115.9,3.57
1987-02-01,116.2,3.57
1987-03-01,116.6,3.64
1987-04-01,117.3,3.9
1987-05-01,117.7,4.07
1987-06-01,117.9,3.97
1987-07-01,118.3,3.95
1987-08-01,118.7,3.94
1987-09-01,119.2,4.01
1987-10-01,119.8,4.17
1987-11-01,120.1,4.16
1987-12-01,120.4,4.15
1988-01-01,120.9,4.31
1988-02-01,121.2,4.3
1988-03-01,121.7,4.37
1988-04-01,122.3,4.26
1988-05-01,122.7,4.25
1988-06-01,123.2,4.5
1988-07-01,123.6,4.48
1988-08-01,124.0,4.47
1988-09-01,124.7,4.61
1988-10-01,125.2,4.51
1988-11-01,125.6,4.58
1988-12-01,126.0,4.65
1989-01-01,126.5,4.63
1989-02-01,126.9,4.7
1989-03-01,127.4,4.68
1989-04-01,127.8,4.5
1989-05-01,128.3,4.56
1989-06-01,128.8,4.55
1989-07-01,129.2,4.53
1989-08-01,129.5,4.44
1989-09-01,129.9,4.17
1989-10-01,130.6,4.31
1989-11-01,131.1,4.38
1989-12-01,131.6,4.44
1990-01-01,132.1,4.43
1990-02-01,132.7,4.57
1990-03-01,133.5,4.79
1990-04-01,134.0,4.85
1990-05-01,134.4,4.75
1990-06-01,135.1,4.89
1990-07-01,135.8,5.11
1990-08-01,136.6,5.48
1990-09-01,137.1,5.54
1990-10-01,137.6,5.36
1990-11-01,138.0,5.26
1990-12-01,138.6,5.32
1991-01-01,139.5,5.6
1991-02-01,140.2,5.65
1991-03-01,140.5,5.24
1991-04-01,140.9,5.15
1991-05-01,141.3,5.13
1991-06-01,141.8,4.96
1991-07-01,142.3,4.79
1991-08-01,142.9,4.61
1991-09-01,143.4,4.6
1991-10-01,143.7,4.43
1991-11-01,144.2,4.49
1991-12-01,144.7,4.4
1992-01-01,145.1,4.01
1992-02-01,145.4,3.71
1992-03-01,145.9,3.84
1992-04-01,146.3,3.83
1992-05-01,146.8,3.89
1992-06-01,147.1,3.74
1992-07-01,147.6,3.72
1992-08-01,147.9,3.5
1992-09-01,148.1,3.28
1992-10-01,148.8,3.55
1992-11-01,149.2,3.47
1992-12-01,149.6,3.39
1993-01-01,150.1,3.45
1993-02-01,150.6,3.58
1993-03-01,150.8,3.36
1993-04-01,151.4,3.49
1993-05-01,151.8,3.41
1993-06-01,152.1,3.4
1993-07-01,152.3,3.18
1993-08-01,152.8,3.31
1993-09-01,152.9,3.24
1993-10-01,153.4,3.09
1993-11-01,153.9,3.15
1993-12-01,154.3,3.14
1994-01-01,154.5,2.93
1994-02-01,154.8,2.79
1994-03-01,155.3,2.98
1994-04-01,155.5,2.71
1994-05-01,155.9,2.7
1994-06-01,156.4,2.83
1994-07-01,156.7,2.89
1994-08-01,157.1,2.81
1994-09-01,157.5,3.01
1994-10-01,157.8,2.87
1994-11-01,158.2,2.79
1994-12-01,158.3,2.59
1995-01-01,159.0,2.91
1995-02-01,159.4,2.97
1995-03-01,159.9,2.96
1995-04-01,160.4,3.15
1995-05-01,160.7,3.08
1995-06-01,161.1,3.01
1995-07-01,161.4,3.0
1995-08-01,161.8,2.99
1995-09-01,162.2,2.98
1995-10-01,162.7,3.11
1995-11-01,163.0,3.03
1995-12-01,163.1,3.03
1996-01-01,163.7,2.96
1996-02-01,164.0,2.89
1996-03-01,164.4,2.81
1996-04-01,164.6,2.62
1996-05-01,165.0,2.68
1996-06-01,165.4,2.67
1996-07-01,165.7,2.66
1996-08-01,166.0,2.6
1996-09-01,166.5,2.65
1996-10-01,166.8,2.52
1996-11-01,167.2,2.58
1996-12-01,167.4,2.64
1997-01-01,167.8,2.5
1997-02-01,168.1,2.5
1997-03-01,168.4,2.43
1997-04-01,168.9,2.61
1997-05-01,169.2,2.55
1997-06-01,169.4,2.42
1997-07-01,169.7,2.41
1997-08-01,169.8,2.29
1997-09-01,170.2,2.22
1997-10-01,170.6,2.28
1997-11-01,170.8,2.15
1997-12-01,171.2,2.27
1998-01-01,171.6,2.26
1998-02-01,171.9,2.26
1998-03-01,172.2,2.26
1998-04-01,172.5,2.13
1998-05-01,172.9,2.19
1998-06-01,173.2,2.24
1998-07-01,173.5,2.24
1998-08-01,174.0,2.47
1998-09-01,174.2,2.35
1998-10-01,174.4,2.23
1998-11-01,174.8,2.34
1998-12-01,175.4,2.45
1999-01-01,175.6,2.33
1999-02-01,175.6,2.15
1999-03-01,175.7,2.03
1999-04-01,176.3,2.2
1999-05-01,176.5,2.08
1999-06-01,176.6,1.96
1999-07-01,177.1,2.07
1999-08-01,177.3,1.9
1999-09-01,177.8,2.07
1999-10-01,178.1,2.12
1999-11-01,178.4,2.06
1999-12-01,178.7,1.88
2000-01-01,179.3,2.11
2000-02-01,179.4,2.16
2000-03-01,180.0,2.45
2000-04-01,180.3,2.27
2000-05-01,180.7,2.38
2000-06-01,181.1,2.55
2000-07-01,181.5,2.48
2000-08-01,181.9,2.59
2000-09-01,182.3,2.53
2000-10-01,182.6,2.53
2000-11-01,183.1,2.63
2000-12-01,183.3,2.57
2001-01-01,183.9,2.57
2001-02-01,184.4,2.79
2001-03-01,184.7,2.61
2001-04-01,185.1,2.66
2001-05-01,185.3,2.55
2001-06-01,186.0,2.71
2001-07-01,186.4,2.7
2001-08-01,186.7,2.64
2001-09-01,187.1,2.63
2001-10-01,187.4,2.63
2001-11-01,188.1,2.73
2001-12-01,188.4,2.78
2002-01-01,188.7,2.61
2002-02-01,189.1,2.55
2002-03-01,189.2,2.44
2002-04-01,189.7,2.49
2002-05-01,190.0,2.54
2002-06-01,190.2,2.26
2002-07-01,190.5,2.2
2002-08-01,191.1,2.36
2002-09-01,191.3,2.24
2002-10-01,191.5,2.19
2002-11-01,191.9,2.02
2002-12-01,192.1,1.96
2003-01-01,192.4,1.96
2003-02-01,192.5,1.8
2003-03-01,192.5,1.74
2003-04-01,192.5,1.48
2003-05-01,192.9,1.53
2003-06-01,193.0,1.47
2003-07-01,193.4,1.52
2003-08-01,193.6,1.31
2003-09-01,193.7,1.25
2003-10-01,194.0,1.31
2003-11-01,194.0,1.09
2003-12-01,194.2,1.09
2004-01-01,194.6,1.14
2004-02-01,194.9,1.25
2004-03-01,195.5,1.56
2004-04-01,195.9,1.77
2004-05-01,196.2,1.71
2004-06-01,196.6,1.87
2004-07-01,196.8,1.76
2004-08-01,196.9,1.7
2004-09-01,197.5,1.96
2004-10-01,197.9,2.01
2004-11-01,198.3,2.22
2004-12-01,198.6,2.27
2005-01-01,199.0,2.26
2005-02-01,199.4,2.31
2005-03-01,200.1,2.35
2005-04-01,200.2,2.19
2005-05-01,200.5,2.19
2005-06-01,200.6,2.03
2005-07-01,200.9,2.08
2005-08-01,201.1,2.13
2005-09-01,201.3,1.92
2005-10-01,202.0,2.07
2005-11-01,202.5,2.12
2005-12-01,202.8,2.11
2006-01-01,203.2,2.11
2006-02-01,203.6,2.11
2006-03-01,204.3,2.1
2006-04-01,204.8,2.3
2006-05-01,205.4,2.44
2006-06-01,205.9,2.64
2006-07-01,206.3,2.69
2006-08-01,206.8,2.83
2006-09-01,207.2,2.93
2006-10-01,207.6,2.77
