date,value
1999-01-01,697160.0
1999-01-08,685128.0
1999-01-15,686992.0
1999-01-22,667622.0
1999-01-29,694638.0
1999-02-05,687447.0
1999-02-12,680236.0
1999-02-19,681891.0
1999-02-26,692641.0
1999-03-05,698073.0
1999-03-12,693054.0
1999-03-19,668283.0
1999-03-26,699396.0
1999-04-02,774421.0
1999-04-09,679468.0
1999-04-16,705590.0
1999-04-23,691717.0
1999-04-30,698296.0
1999-05-07,692124.0
1999-05-14,687527.0
1999-05-21,691085.0
1999-05-28,705060.0
1999-06-04,706426.0
1999-06-11,697053.0
1999-06-18,691771.0
1999-06-25,695644.0
1999-07-02,722715.0
1999-07-09,722715.0
1999-07-16,721569.0
1999-07-23,721882.0
1999-07-30,739725.0
1999-08-06,722964.0
1999-08-13,716260.0
1999-08-20,713379.0
1999-08-27,733966.0
1999-09-03,727128.0
1999-09-10,721270.0
1999-09-17,717914.0
1999-09-24,728600.0
1999-10-01,730616.0
1999-10-08,729413.0
1999-10-15,724358.0
1999-10-22,709946.0
1999-10-29,742624.0
1999-11-05,737141.0
1999-11-12,733848.0
1999-11-19,734998.0
1999-11-26,743495.0
1999-12-03,747164.0
1999-12-10,764737.0
1999-12-17,753217.0
1999-12-24,760669.0
1999-12-31,803192.0
2000-01-07,791850.67
2000-01-14,736484.83
2000-01-21,745290.55
2000-01-28,772748.85
2000-02-04,762475.89
2000-02-11,759425.0594
2000-02-18,755853.7368
2000-02-25,752207.4057
2000-03-03,777648.8895
2000-03-10,759988.6151
2000-03-17,757187.6546
2000-03-24,761178.3014
2000-03-31,774420.8192
2000-04-07,770427.5674
2000-04-14,765602.0
2000-04-21,777205.0
2000-04-28,782962.0
2000-05-05,786480.0
2000-05-12,768074.0
2000-05-19,775903.0
2000-05-26,779222.0
2000-06-02,774894.0
2000-06-09,769982.0
2000-06-16,774819.0
2000-06-23,776768.0
2000-06-30,812468.0
2000-07-07,793480.0
2000-07-14,791179.0
2000-07-21,786691.0
2000-07-28,800725.2058
2000-08-04,792085.5639
2000-08-11,783778.069
2000-08-18,794289.4486
2000-08-25,796968.4467
2000-09-01,802418.4934
2000-09-08,797766.2796
2000-09-15,792783.0
2000-09-22,788509.5982
2000-09-29,826309.5705
2000-10-06,821621.193
2000-10-13,816322.0597
2000-10-20,809796.1784
2000-10-27,822086.3493
2000-11-03,821281.4539
2000-11-10,821917.601
2000-11-17,818955.7801
2000-11-24,833102.9503
2000-12-01,834584.0
2000-12-08,855968.0
2000-12-15,854381.0
2000-12-22,848610.0
2000-12-29,835065.0
2001-01-05,843751.0
2001-01-12,836782.0
2001-01-19,840210.0
2001-01-26,853462.0
2001-02-02,835215.0
2001-02-09,829737.0
2001-02-16,811621.0
2001-02-23,871589.0
2001-03-02,831539.0
2001-03-09,818190.0
2001-03-16,840112.0
2001-03-23,832777.0
2001-03-30,847959.0
2001-04-06,829109.0
2001-04-13,814720.0
2001-04-20,858769.0
2001-04-27,839272.0
2001-05-04,819675.0
2001-05-11,820898.0
2001-05-18,814941.0
2001-05-25,825427.0
2001-06-01,830431.0
2001-06-08,827440.0
2001-06-15,819049.0
2001-06-22,824444.0
2001-06-29,862767.0
2001-07-06,852890.0
2001-07-13,842370.0
2001-07-20,841946.0
2001-07-27,862061.0
2001-08-03,852105.0
2001-08-10,840988.0
2001-08-17,840603.0
2001-08-24,832360.0
2001-08-31,833389.0
2001-09-07,828051.0
2001-09-14,820690.0
2001-09-21,806105.0
2001-09-28,817364.0
2001-10-05,798851.0
2001-10-12,782084.0
2001-10-19,810439.0
2001-10-26,809996.0
2001-11-02,795654.0
2001-11-09,771984.0
2001-11-16,821504.0
2001-11-23,802491.0
2001-11-30,810690.0
2001-12-07,809860.0
2001-12-14,805551.0
2001-12-21,795432.0
2001-12-28,814662.0
2002-01-04,899232.0
2002-01-11,872101.0
2002-01-18,864853.0
2002-01-25,839687.0
2002-02-01,810126.0
2002-02-08,796924.0
2002-02-15,796794.0
2002-02-22,777402.0
2002-03-01,790171.0
2002-03-08,786325.0
2002-03-15,778974.0
2002-03-22,781840.0
2002-03-29,814901.0
2002-04-05,800142.0
2002-04-12,782916.0
2002-04-19,778804.0
2002-04-26,788835.0
2002-05-03,783833.0
2002-05-10,791617.0
2002-05-17,785510.0
2002-05-24,788812.0
2002-05-31,793333.0
2002-06-07,788433.0
2002-06-14,783564.0
2002-06-21,793674.0
2002-06-28,780845.0
2002-07-05,764716.0
2002-07-12,765635.0
2002-07-19,775995.0
2002-07-26,783540.0
2002-08-02,771591.0
2002-08-09,768630.0
2002-08-16,763509.0
2002-08-23,764092.0
2002-08-30,770838.0
2002-09-06,765573.0
2002-09-13,762139.0
2002-09-20,772638.0
2002-09-27,772822.0
2002-10-04,778337.0
2002-10-11,778706.0
2002-10-18,774314.0
2002-10-25,798028.0
2002-11-01,779659.0
2002-11-08,777495.0
2002-11-15,773332.0
2002-11-22,788667.0
2002-11-29,796464.0
2002-12-06,812706.0
2002-12-13,818720.0
2002-12-20,820448.0
2002-12-27,832558.0
2003-01-03,794992.0
2003-01-10,786619.0
2003-01-17,773267.0
2003-01-24,778863.0
2003-01-31,786730.0
2003-02-07,782044.0
2003-02-14,775370.0
2003-02-21,784809.0
2003-02-28,790649.0
2003-03-07,749960.0
2003-03-14,838923.0
2003-03-21,802273.0
2003-03-28,798674.0
2003-04-04,774429.0
2003-04-11,770550.0
2003-04-18,776461.0
2003-04-25,800643.0
2003-05-02,760351.0
2003-05-09,765135.0
2003-05-16,771868.0
2003-05-23,793894.0
2003-05-30,801435.0
2003-06-06,777056.0
2003-06-13,801670.0
2003-06-20,791707.0
2003-06-27,813568.0
2003-07-04,802107.0
2003-07-11,797996.0
2003-07-18,795274.0
2003-07-25,828475.0
2003-08-01,802942.0
2003-08-08,812583.0
2003-08-15,798392.0
2003-08-22,800214.0
2003-08-29,814810.0
2003-09-05,809501.0
2003-09-12,804358.0
2003-09-19,813574.0
2003-09-26,829239.0
2003-10-03,813612.0
2003-10-10,815927.0
2003-10-17,803678.0
2003-10-24,812517.0
2003-10-31,818606.0
2003-11-07,813549.0
2003-11-14,811863.0
2003-11-21,827063.0
2003-11-28,833339.0
2003-12-05,858338.0
2003-12-12,847045.0
2003-12-19,848705.0
2003-12-26,835157.0
2004-01-02,838321.0
2004-01-09,811951.0
2004-01-16,812604.0
2004-01-23,823280.0
2004-01-30,824392.0
2004-02-06,817014.0
2004-02-13,813160.0
2004-02-20,816931.0
2004-02-27,824024.0
2004-03-05,826792.0
2004-03-12,819689.0
2004-03-19,822845.0
2004-03-26,830349.0
2004-04-02,847083.0
2004-04-09,848113.0
2004-04-16,835256.0
2004-04-23,842718.0
2004-04-30,853538.0
2004-05-07,846214.0
2004-05-14,842046.0
2004-05-21,859992.0
2004-05-28,867250.0
2004-06-04,870114.0
2004-06-11,869053.0
2004-06-18,867795.0
2004-06-25,895838.0
2004-07-02,882359.0
2004-07-09,881026.0
2004-07-16,868840.0
2004-07-23,887631.0
2004-07-30,883749.0
2004-08-06,880177.0
2004-08-13,871636.0
2004-08-20,871976.0
2004-08-27,881876.0
2004-09-03,876603.0
2004-09-10,874610.0
2004-09-17,875248.0
2004-09-24,885811.0
2004-10-01,882294.0
2004-10-08,880574.0
2004-10-15,868406.0
2004-10-22,875418.0
2004-10-29,893778.0
2004-11-05,893246.0
2004-11-12,887079.0
2004-11-19,893837.0
2004-11-26,899065.0
2004-12-03,905475.0
2004-12-10,914229.0
2004-12-17,909199.0
2004-12-24,915706.0
2004-12-31,884233.0
2005-01-07,873637.0
2005-01-14,881046.0
2005-01-21,896168.0
2005-01-28,894782.0
2005-02-04,899472.0
2005-02-11,897105.0
2005-02-18,900338.0
2005-02-25,913849.0
2005-03-04,906928.0
2005-03-11,905375.0
2005-03-18,912660.0
2005-03-25,926434.0
2005-04-01,927154.0
2005-04-08,927243.0
2005-04-15,922198.0
2005-04-22,934543.0
2005-04-29,934479.0
2005-05-06,927113.0
2005-05-13,922942.0
2005-05-20,929804.0
2005-05-27,927781.0
2005-06-03,940150.0
2005-06-10,937965.0
2005-06-17,940839.0
2005-06-24,967868.0
2005-07-01,988441.0
2005-07-08,988731.0
2005-07-15,979453.0
2005-07-22,989661.0
2005-07-29,996796.0
2005-08-05,994865.0
2005-08-12,987757.0
2005-08-19,984106.0
2005-08-26,992270.0
2005-09-02,977000.0
2005-09-09,978982.0
2005-09-16,964249.0
2005-09-23,974180.0
2005-09-30,996044.0
2005-10-07,990996.0
2005-10-14,983351.0
2005-10-21,998552.0
2005-10-28,1003504.0
2005-11-04,998615.0
2005-11-11,998301.0
2005-11-18,999149.0
2005-11-25,1017239.0
2005-12-02,1013538.0
2005-12-09,1041792.0
2005-12-16,1016943.0
2005-12-23,1019749.0
2005-12-30,1038152.0
2006-01-06,1038614.0
2006-01-13,1033258.0
2006-01-20,1051180.0
2006-01-27,1055186.0
2006-02-03,1030373.0
2006-02-10,1035376.0
2006-02-17,1039333.0
2006-02-24,1062732.0
2006-03-03,1055765.0
2006-03-10,1052256.0
2006-03-17,1043998.0
2006-03-24,1056127.0
2006-03-31,1067477.0
2006-04-07,1067024.0
2006-04-14,1075146.0
2006-04-21,1084807.0
2006-04-28,1080389.0
2006-05-05,1079264.0
2006-05-12,1075694.0
2006-05-19,1076409.0
2006-05-26,1084094.0
2006-06-02,1084486.0
2006-06-09,1080532.0
2006-06-16,1087256.0
2006-06-23,1112518.0
2006-06-30,1112770.0
2006-07-07,1111397.0
2006-07-14,1107838.0
2006-07-21,1125154.0
2006-07-28,1128285.0
2006-08-04,1114627.0
2006-08-11,1112702.0
2006-08-18,1103912.0
2006-08-25,1113025.0
2006-09-01,1107252.0
2006-09-08,1105398.0
2006-09-15,1102153.0
2006-09-22,1112530.0
2006-09-29,1118315.0
2006-10-06,1114603.0
2006-10-13,1110166.0
2006-10-20,1121281.0
2006-10-27,1118736.0
2006-11-03,1113170.0
2006-11-10,1112832.0
2006-11-17,1113236.0
2006-11-24,1133314.0
2006-12-01,1126144.0
2006-12-08,1146252.0
2006-12-15,1138254.0
2006-12-22,1142321.0
2006-12-29,1150980.0
2007-01-05,1154416.0
2007-01-12,1138300.0
2007-01-19,1141226.0
2007-01-26,1148148.0
2007-02-02,1136671.0
2007-02-09,1127196.0
2007-02-16,1135090.0
2007-02-23,1150396.0
2007-03-02,1148229.0
2007-03-09,1139826.0
2007-03-16,1129997.0
2007-03-23,1142656.0
2007-03-30,1162604.0
2007-04-06,1171420.0
2007-04-13,1161570.0
2007-04-20,1164245.0
2007-04-27,1176308.0
2007-05-04,1165355.0
2007-05-11,1164245.0
2007-05-18,1168993.0
2007-05-25,1187052.0
2007-06-01,1178439.0
2007-06-08,1176346.0
2007-06-15,1180260.0
2007-06-22,1186672.0
2007-06-29,1208453.0
2007-07-06,1191757.0
2007-07-13,1185364.0
2007-07-20,1196419.0
2007-07-27,1212584.0
2007-08-03,1195123.0
2007-08-10,1253098.0
2007-08-17,1207703.0
2007-08-24,1216884.0
2007-08-31,1157534.0
2007-09-07,1207383.0
2007-09-14,1299307.0
2007-09-21,1189583.0
2007-09-28,1250396.0
2007-10-05,1228352.0
2007-10-12,1289118.0
2007-10-19,1249327.0
2007-10-26,1263504.0
2007-11-02,1256261.0
2007-11-09,1248472.0
2007-11-16,1271761.0
2007-11-23,1285523.0
2007-11-30,1297266.0
2007-12-07,1293026.0
2007-12-14,1338418.0
2007-12-21,1472961.0
2007-12-28,1511244.0
2008-01-04,1285790.0
2008-01-11,1311062.0
2008-01-18,1350779.0
2008-01-25,1337542.0
2008-02-01,1330918.0
2008-02-08,1328292.0
2008-02-15,1348061.0
2008-02-22,1338874.0
2008-02-29,1336758.0
2008-03-07,1332977.0
2008-03-14,1367702.0
2008-03-21,1378930.0
2008-03-28,1390804.0
2008-04-04,1365793.0
2008-04-11,1357162.0
2008-04-18,1433190.0
2008-04-25,1405859.0
2008-05-02,1399774.0
2008-05-09,1392863.0
2008-05-16,1440879.0
2008-05-23,1423797.0
2008-05-30,1423245.0
2008-06-06,1407746.0
2008-06-13,1442612.0
2008-06-20,1441151.0
2008-06-27,1462710.0
2008-07-04,1404892.0
2008-07-11,1452177.0
2008-07-18,1427348.0
2008-07-25,1450899.0
2008-08-01,1444562.0
2008-08-08,1441639.0
2008-08-15,1460207.0
2008-08-22,1434957.0
2008-08-29,1449139.0
2008-09-05,1441019.0
2008-09-12,1457726.0
2008-09-19,1460585.0
2008-09-26,1518548.0
2008-10-03,1758697.0
2008-10-10,1881854.0
2008-10-17,1973084.0
2008-10-24,1958164.0
2008-10-31,2031447.0
2008-11-07,1940367.0
2008-11-14,1998720.0
2008-11-21,1973981.0
2008-11-28,1979051.0
2008-12-05,2036524.0
2008-12-12,2053837.0
2008-12-19,2021484.0
2008-12-26,2043465.0
2009-01-02,2088878.0
2009-01-09,2045566.0
2009-01-16,2010655.0
2009-01-23,2039799.0
2009-01-30,1906979.0
2009-02-06,1893796.0
2009-02-13,1834051.0
2009-02-20,1858375.0
2009-02-27,1820268.0
2009-03-06,1840819.0
2009-03-13,1829433.0
2009-03-20,1822548.0
2009-03-27,1803083.0
2009-04-03,1836384.0
2009-04-10,1827798.0
2009-04-17,1840083.0
2009-04-24,1823963.0
2009-05-01,1799225.0
2009-05-08,1795099.0
2009-05-15,1764158.0
2009-05-22,1736870.0
2009-05-29,1799610.0
2009-06-05,1747838.0
2009-06-12,1726624.0
2009-06-19,1719718.0
2009-06-26,1997319.0
2009-07-03,1911628.0
2009-07-10,1888909.0
2009-07-17,1875712.0
2009-07-24,1867848.0
2009-07-31,1854093.0
2009-08-07,1835895.0
2009-08-14,1801757.0
2009-08-21,1798364.0
2009-08-28,1821371.0
2009-09-04,1819488.0
2009-09-11,1802473.0
2009-09-18,1792972.0
2009-09-25,1790242.0
2009-10-02,1844567.0
2009-10-09,1802742.0
2009-10-16,1801388.0
2009-10-23,1786122.0
2009-10-30,1779000.0
2009-11-06,1773685.0
2009-11-13,1759605.0
2009-11-20,1761476.0
2009-11-27,1759186.0
2009-12-04,1759429.0
2009-12-11,1744542.0
2009-12-18,1842352.0
2009-12-25,1852463.0
2010-01-01,1904935.0
2010-01-08,1879590.0
2010-01-15,1870606.0
2010-01-22,1870342.0
2010-01-29,1877655.0
2010-02-05,1874500.0
2010-02-12,1874687.0
2010-02-19,1880871.0
2010-02-26,1889017.0
2010-03-05,1890311.0
2010-03-12,1886697.0
2010-03-19,1889712.0
2010-03-26,1894898.0
2010-04-02,1942548.0
2010-04-09,1936654.0
2010-04-16,1939989.0
2010-04-23,1943260.0
2010-04-30,1956819.0
2010-05-07,1983241.0
2010-05-14,2062943.0
2010-05-21,2069968.0
2010-05-28,2088450.0
2010-06-04,2098508.0
2010-06-11,2107126.0
2010-06-18,2124740.0
2010-06-25,2154245.0
2010-07-02,2049811.0
2010-07-09,2004747.0
2010-07-16,1986989.0
2010-07-23,1993612.0
2010-07-30,2001660.0
2010-08-06,1964906.0
2010-08-13,1953086.0
2010-08-20,1956064.0
2010-08-27,1957926.0
2010-09-03,1963223.0
2010-09-10,1973255.0
2010-09-17,1970482.0
2010-09-24,1971356.0
2010-10-01,1865885.0
2010-10-08,1867952.0
2010-10-15,1876946.0
2010-10-22,1877963.0
2010-10-29,1895679.0
2010-11-05,1886353.0
2010-11-12,1878979.0
2010-11-19,1888388.0
2010-11-26,1915961.0
2010-12-03,1924130.0
2010-12-10,1951661.0
2010-12-17,1945232.0
2010-12-24,1926154.0
2010-12-31,2004432.0
2011-01-07,1965895.0
2011-01-14,1957146.0
2011-01-21,1961122.0
2011-01-28,1965568.0
2011-02-04,2015599.0
2011-02-11,1956143.0
2011-02-18,1958491.0
2011-02-25,1952278.0
