date,value,yoy_pct
1980-01-01,1070496.0,
1980-02-01,1078232.0,
1980-03-01,1088333.0,
1980-04-01,1093263.0,
1980-05-01,1100958.0,
1980-06-01,1109205.0,
1980-07-01,1120452.0,
1980-08-01,1127098.0,
1980-09-01,1133419.0,
1980-10-01,1145159.0,
1980-11-01,1160031.0,
1980-12-01,1165452.0,
1981-01-01,1175008.0,9.76
1981-02-01,1186668.0,10.06
1981-03-01,1194414.0,9.75
1981-04-01,1204188.0,10.15
1981-05-01,1215847.0,10.44
1981-06-01,1223076.0,10.27
1981-07-01,1230470.0,9.82
1981-08-01,1234000.0,9.48
1981-09-01,1246150.0,9.95
1981-10-01,1253958.0,9.5
1981-11-01,1264026.0,8.96
1981-12-01,1273805.0,9.3
1982-01-01,1287848.0,9.6
1982-02-01,1299092.0,9.47
1982-03-01,1313351.0,9.96
1982-04-01,1326733.0,10.18
1982-05-01,1334764.0,9.78
1982-06-01,1347524.0,10.18
1982-07-01,1358609.0,10.41
1982-08-01,1372472.0,11.22
1982-09-01,1382740.0,10.96
1982-10-01,1389853.0,10.84
1982-11-01,1401761.0,10.9
1982-12-01,1414556.0,11.05
1983-01-01,1425088.0,10.66
1983-02-01,1435898.0,10.53
1983-03-01,1443423.0,9.9
1983-04-01,1453878.0,9.58
1983-05-01,1464343.0,9.71
1983-06-01,1474969.0,9.46
1983-07-01,1486582.0,9.42
1983-08-01,1498206.0,9.16
1983-09-01,1503408.0,8.73
1983-10-01,1513481.0,8.9
1983-11-01,1526253.0,8.88
1983-12-01,1537092.0,8.66
1984-01-01,1543563.0,8.31
1984-02-01,1549774.0,7.93
1984-03-01,1559014.0,8.01
1984-04-01,1568820.0,7.91
1984-05-01,1583749.0,8.15
1984-06-01,1591965.0,7.93
1984-07-01,1603857.0,7.89
1984-08-01,1617813.0,7.98
1984-09-01,1631220.0,8.5
1984-10-01,1638411.0,8.25
1984-11-01,1649653.0,8.09
1984-12-01,1661882.0,8.12
1985-01-01,1676415.0,8.61
1985-02-01,1691806.0,9.16
1985-03-01,1700138.0,9.05
1985-04-01,1709983.0,9.0
1985-05-01,1715317.0,8.31
1985-06-01,1722006.0,8.17
1985-07-01,1731220.0,7.94
1985-08-01,1738364.0,7.45
1985-09-01,1746936.0,7.09
1985-10-01,1755357.0,7.14
1985-11-01,1760581.0,6.72
1985-12-01,1784034.0,7.35
1986-01-01,1792537.0,6.93
1986-02-01,1800828.0,6.44
1986-03-01,1818276.0,6.95
1986-04-01,1815354.0,6.16
1986-05-01,1824547.0,6.37
1986-06-01,1832456.0,6.41
1986-07-01,1847233.0,6.7
1986-08-01,1858580.0,6.92
1986-09-01,1872837.0,7.21
1986-10-01,1889296.0,7.63
1986-11-01,1896941.0,7.75
1986-12-01,1903734.0,6.71
1987-01-01,1918425.0,7.02
1987-02-01,1927091.0,7.01
1987-03-01,1940390.0,6.72
1987-04-01,1952955.0,7.58
1987-05-01,1962800.0,7.58
1987-06-01,1975973.0,7.83
1987-07-01,1985755.0,7.5
1987-08-01,1992865.0,7.23
1987-09-01,2002177.0,6.91
1987-10-01,2016290.0,6.72
1987-11-01,2024128.0,6.7
1987-12-01,2027444.0,6.5
1988-01-01,2037581.0,6.21
1988-02-01,2046281.0,6.18
1988-03-01,2057427.0,6.03
1988-04-01,2076081.0,6.3
1988-05-01,2090533.0,6.51
1988-06-01,2100900.0,6.32
1988-07-01,2116901.0,6.6
1988-08-01,2131825.0,6.97
1988-09-01,2139817.0,6.87
1988-10-01,2154925.0,6.88
1988-11-01,2167024.0,7.06
1988-12-01,2173774.0,7.22
1989-01-01,2185797.0,7.27
1989-02-01,2197853.0,7.41
1989-03-01,2222161.0,8.01
1989-04-01,2224430.0,7.15
1989-05-01,2240671.0,7.18
1989-06-01,2263203.0,7.73
1989-07-01,2280165.0,7.71
1989-08-01,2292824.0,7.55
1989-09-01,2303555.0,7.65
1989-10-01,2312607.0,7.32
1989-11-01,2326287.0,7.35
1989-12-01,2343345.0,7.8
1990-01-01,2360748.0,8.0
1990-02-01,2368976.0,7.79
1990-03-01,2371264.0,6.71
1990-04-01,2378067.0,6.91
1990-05-01,2386578.0,6.51
1990-06-01,2494707.0,10.23
1990-07-01,2506891.0,9.94
1990-08-01,2521801.0,9.99
1990-09-01,2539282.0,10.23
1990-10-01,2548320.0,10.19
1990-11-01,2560619.0,10.07
1990-12-01,2573883.0,9.84
1991-01-01,2583655.0,9.44
1991-02-01,2601663.0,9.82
1991-03-01,2601696.0,9.72
1991-04-01,2615487.0,9.98
1991-05-01,2630099.0,10.2
1991-06-01,2639742.0,5.81
1991-07-01,2650528.0,5.73
1991-08-01,2665240.0,5.69
1991-09-01,2672023.0,5.23
1991-10-01,2683318.0,5.3
1991-11-01,2704447.0,5.62
1991-12-01,2722085.0,5.76
1992-01-01,2720803.0,5.31
1992-02-01,2729621.0,4.92
1992-03-01,2747609.0,5.61
1992-04-01,2764811.0,5.71
1992-05-01,2778249.0,5.63
1992-06-01,2784130.0,5.47
1992-07-01,2792853.0,5.37
1992-08-01,2803439.0,5.19
1992-09-01,2836589.0,6.16
1992-10-01,2839113.0,5.81
1992-11-01,2860628.0,5.77
1992-12-01,2853356.0,4.82
1993-01-01,2861813.0,5.18
1993-02-01,2876975.0,5.4
1993-03-01,2905799.0,5.76
1993-04-01,2918598.0,5.56
1993-05-01,2937506.0,5.73
1993-06-01,2950419.0,5.97
1993-07-01,2962145.0,6.06
1993-08-01,2977872.0,6.22
1993-09-01,2989060.0,5.38
1993-10-01,3013455.0,6.14
1993-11-01,3037935.0,6.2
1993-12-01,3067025.0,7.49
1994-01-01,3085865.0,7.83
1994-02-01,3101072.0,7.79
1994-03-01,3125371.0,7.56
1994-04-01,3133464.0,7.36
