date,value
1970-01-01,12.4
1970-04-01,14.0
1970-07-01,16.6
1970-10-01,19.7
1971-01-01,24.6
1971-04-01,31.8
1971-07-01,41.5
1971-10-01,46.0
1972-01-01,49.0
1972-04-01,49.2
1972-07-01,54.5
1972-10-01,54.4
1973-01-01,62.2
1973-04-01,59.4
1973-07-01,57.7
1973-10-01,54.7
1974-01-01,54.1
1974-04-01,56.8
1974-07-01,56.0
1974-10-01,58.8
1975-01-01,65.0
1975-04-01,66.0
1975-07-01,65.5
1975-10-01,66.5
1976-01-01,68.1
1976-04-01,69.8
1976-07-01,74.6
1976-10-01,78.1
1977-01-01,84.7
1977-04-01,87.9
1977-07-01,95.5
1977-10-01,109.6
1978-01-01,124.5
1978-04-01,119.5
1978-07-01,120.9
1978-10-01,133.1
1979-01-01,132.8
1979-04-01,119.5
1979-07-01,124.2
1979-10-01,119.0
1980-01-01,125.0
1980-04-01,118.2
1980-07-01,124.7
1980-10-01,129.7
1981-01-01,138.2
1981-04-01,136.6
1981-07-01,130.7
1981-10-01,136.6
1982-01-01,136.1
1982-04-01,137.2
1982-07-01,140.6
1982-10-01,149.5
1983-01-01,156.2
1983-04-01,160.1
1983-07-01,160.1
1983-10-01,166.3
1984-01-01,166.3
1984-04-01,171.6
1984-07-01,175.6
1984-10-01,192.9
1985-01-01,199.6
1985-04-01,213.8
1985-07-01,222.9
1985-10-01,224.8
1986-01-01,232.6
1986-04-01,250.9
1986-07-01,265.5
1986-10-01,263.4
1987-01-01,272.8
1987-04-01,281.1
1987-07-01,279.5
1987-10-01,299.7
1988-01-01,332.5
1988-04-01,345.4
1988-07-01,345.9
1988-10-01,362.2
1989-01-01,373.5
1989-04-01,366.4
1989-07-01,391.8
1989-10-01,426.1
1990-01-01,445.4
1990-04-01,451.0
1990-07-01,463.8
1990-10-01,487.1
1991-01-01,492.0
1991-04-01,502.0
1991-07-01,506.3
1991-10-01,520.9
1992-01-01,536.4
1992-04-01,558.2
1992-07-01,562.8
1992-10-01,576.7
1993-01-01,585.9
1993-04-01,596.8
1993-07-01,619.1
1993-10-01,650.3
1994-01-01,661.1
1994-04-01,659.9
1994-07-01,682.0
1994-10-01,667.3
1995-01-01,707.0
1995-04-01,762.5
1995-07-01,820.4
1995-10-01,835.2
1996-01-01,908.1
1996-04-01,929.7
1996-07-01,993.4
1996-10-01,1102.1
1997-01-01,1157.6
1997-04-01,1182.7
1997-07-01,1230.5
1997-10-01,1241.6
1998-01-01,1250.5
1998-04-01,1256.0
1998-07-01,1224.2
1998-10-01,1278.7
1999-01-01,1272.3
1999-04-01,1258.8
1999-07-01,1281.4
1999-10-01,1268.7
2000-01-01,1085.0
2000-04-01,1060.7
2000-07-01,1038.8
2000-10-01,1015.2
2001-01-01,1012.5
2001-04-01,983.3
2001-07-01,992.2
2001-10-01,1040.1
2002-01-01,1057.2
2002-04-01,1123.1
2002-07-01,1188.6
2002-10-01,1235.6
2003-01-01,1275.2
2003-04-01,1371.9
2003-07-01,1443.3
2003-10-01,1523.1
2004-01-01,1670.0
2004-04-01,1735.4
2004-07-01,1794.5
2004-10-01,1849.3
2005-01-01,1952.0
2005-04-01,1878.0
2005-07-01,1930.0
2005-10-01,2034.0
2006-01-01,2082.1
2006-04-01,1977.8
2006-07-01,2025.3
2006-10-01,2103.1
2007-01-01,2194.8
2007-04-01,2192.0
2007-07-01,2235.3
2007-10-01,2353.2
2008-01-01,2506.3
2008-04-01,2587.4
2008-07-01,2802.4
2008-10-01,3077.2
2009-01-01,3265.7
2009-04-01,3460.8
2009-07-01,3570.6
2009-10-01,3685.1
2010-01-01,3877.9
2010-04-01,4070.0
2010-07-01,4324.2
2010-10-01,4435.6
2011-01-01,4481.4
2011-04-01,4690.6
2011-07-01,4912.1
2011-10-01,5006.9
2012-01-01,5145.1
2012-04-01,5310.9
2012-07-01,5476.1
2012-10-01,5573.8
2013-01-01,5725.0
2013-04-01,5595.0
2013-07-01,5652.8
2013-10-01,5792.6
2014-01-01,5948.3
2014-04-01,6018.7
2014-07-01,6069.2
2014-10-01,6157.7
2015-01-01,6172.6
2015-04-01,6161.0
2015-07-01,6104.0
2015-10-01,6144.2
2016-01-01,6284.4
2016-04-01,6279.1
2016-07-01,6155.9
2016-10-01,6002.8
2017-01-01,6075.3
2017-04-01,6151.9
2017-07-01,6301.9
2017-10-01,6211.3
2018-01-01,6223.4
2018-04-01,6225.0
2018-07-01,6225.9
2018-10-01,6270.1
2019-01-01,6474.0
2019-04-01,6625.9
2019-07-01,6923.5
2019-10-01,6844.2
2020-01-01,6949.5
2020-04-01,7052.1
2020-07-01,7069.2
2020-10-01,7070.7
2021-01-01,7038.3
2021-04-01,7518.9
2021-07-01,7570.9
2021-10-01,7740.4
2022-01-01,7604.2
2022-04-01,7416.9
2022-07-01,7251.5
2022-10-01,7194.7
2023-01-01,7468.6
2023-04-01,7563.2
2023-07-01,7509.1
2023-10-01,7940.0
2024-01-01,8107.9
2024-04-01,8299.3
2024-07-01,8766.3
2024-10-01,8619.3
2025-01-01,9054.2
2025-04-01,9090.3
2025-07-01,9234.4
2025-10-01,9270.9
