date,value,yoy_pct
1947-01-01,2182.681,
1947-04-01,2176.892,
1947-07-01,2172.432,
1947-10-01,2206.452,
1948-01-01,2239.682,2.61
1948-04-01,2276.69,4.58
1948-07-01,2289.77,5.4
1948-10-01,2292.364,3.89
1949-01-01,2260.807,0.94
1949-04-01,2253.128,-1.03
1949-07-01,2276.424,-0.58
1949-10-01,2257.352,-1.53
1950-01-01,2346.104,3.77
1950-04-01,2417.682,7.3
1950-07-01,2511.127,10.31
1950-10-01,2559.214,13.37
1951-01-01,2593.967,10.56
1951-04-01,2638.898,9.15
1951-07-01,2693.259,7.25
1951-10-01,2699.156,5.47
1952-01-01,2727.954,5.17
1952-04-01,2733.8,3.6
1952-07-01,2753.517,2.24
1952-10-01,2843.941,5.36
1953-01-01,2896.811,6.19
1953-04-01,2919.206,6.78
1953-07-01,2902.785,5.42
1953-10-01,2858.845,0.52
1954-01-01,2845.192,-1.78
1954-04-01,2848.305,-2.43
1954-07-01,2880.482,-0.77
1954-10-01,2936.852,2.73
1955-01-01,3020.746,6.17
1955-04-01,3069.91,7.78
1955-07-01,3111.379,8.02
1955-10-01,3130.068,6.58
1956-01-01,3117.922,3.22
1956-04-01,3143.694,2.4
1956-07-01,3140.874,0.95
1956-10-01,3192.57,2.0
1957-01-01,3213.011,3.05
1957-04-01,3205.97,1.98
1957-07-01,3237.386,3.07
1957-10-01,3203.894,0.35
1958-01-01,3120.724,-2.87
1958-04-01,3141.224,-2.02
1958-07-01,3213.884,-0.73
1958-10-01,3289.032,2.66
1959-01-01,3352.129,7.42
1959-04-01,3427.667,9.12
1959-07-01,3430.057,6.73
1959-10-01,3439.832,4.58
1960-01-01,3517.181,4.92
1960-04-01,3498.246,2.06
1960-07-01,3515.385,2.49
1960-10-01,3470.278,0.89
1961-01-01,3493.703,-0.67
1961-04-01,3553.021,1.57
1961-07-01,3621.252,3.01
1961-10-01,3692.289,6.4
1962-01-01,3758.147,7.57
1962-04-01,3792.149,6.73
1962-07-01,3838.776,6.01
1962-10-01,3851.421,4.31
1963-01-01,3893.482,3.6
1963-04-01,3937.183,3.82
1963-07-01,4023.755,4.82
1963-10-01,4050.147,5.16
1964-01-01,4135.553,6.22
1964-04-01,4180.592,6.18
1964-07-01,4245.918,5.52
1964-10-01,4259.046,5.16
1965-01-01,4362.111,5.48
1965-04-01,4417.225,5.66
1965-07-01,4515.427,6.35
1965-10-01,4619.458,8.46
1966-01-01,4731.888,8.48
1966-04-01,4748.046,7.49
1966-07-01,4788.254,6.04
1966-10-01,4827.537,4.5
1967-01-01,4870.299,2.93
1967-04-01,4873.287,2.64
1967-07-01,4919.392,2.74
1967-10-01,4956.477,2.67
1968-01-01,5057.553,3.84
1968-04-01,5142.033,5.51
1968-07-01,5181.859,5.34
1968-10-01,5202.212,4.96
1969-01-01,5283.597,4.47
1969-04-01,5299.625,3.06
1969-07-01,5334.6,2.95
1969-10-01,5308.556,2.04
1970-01-01,5300.652,0.32
1970-04-01,5308.164,0.16
1970-07-01,5357.077,0.42
1970-10-01,5299.672,-0.17
1971-01-01,5443.619,2.7
1971-04-01,5473.059,3.11
1971-07-01,5518.072,3.01
1971-10-01,5531.032,4.37
1972-01-01,5632.649,3.47
1972-04-01,5760.47,5.25
1972-07-01,5814.854,5.38
1972-10-01,5912.22,6.89
1973-01-01,6058.544,7.56
1973-04-01,6124.506,6.32
1973-07-01,6092.301,4.77
1973-10-01,6150.131,4.02
1974-01-01,6097.258,0.64
1974-04-01,6111.751,-0.21
1974-07-01,6053.978,-0.63
1974-10-01,6030.464,-1.95
1975-01-01,5957.035,-2.3
1975-04-01,5999.61,-1.83
1975-07-01,6102.326,0.8
1975-10-01,6184.53,2.55
1976-01-01,6323.649,6.15
1976-04-01,6370.025,6.17
1976-07-01,6404.895,4.96
1976-10-01,6451.177,4.31
1977-01-01,6527.703,3.23
1977-04-01,6654.466,4.47
1977-07-01,6774.457,5.77
1977-10-01,6774.592,5.01
1978-01-01,6796.26,4.11
1978-04-01,7058.92,6.08
1978-07-01,7129.915,5.25
1978-10-01,7225.75,6.66
1979-01-01,7238.727,6.51
1979-04-01,7246.454,2.66
1979-07-01,7300.281,2.39
1979-10-01,7318.535,1.28
1980-01-01,7341.557,1.42
1980-04-01,7190.289,-0.78
1980-07-01,7181.743,-1.62
1980-10-01,7315.677,-0.04
1981-01-01,7459.022,1.6
1981-04-01,7403.745,2.97
1981-07-01,7492.405,4.33
1981-10-01,7410.768,1.3
1982-01-01,7295.631,-2.19
1982-04-01,7328.912,-1.01
1982-07-01,7300.896,-2.56
1982-10-01,7303.817,-1.44
1983-01-01,7400.066,1.43
1983-04-01,7568.456,3.27
1983-07-01,7719.746,5.74
1983-10-01,7880.794,7.9
1984-01-01,8034.847,8.58
1984-04-01,8173.67,8.0
1984-07-01,8252.465,6.9
1984-10-01,8320.199,5.58
1985-01-01,8400.82,4.55
1985-04-01,8474.787,3.68
1985-07-01,8604.22,4.26
1985-10-01,8668.188,4.18
1986-01-01,8749.127,4.15
1986-04-01,8788.524,3.7
1986-07-01,8872.601,3.12
