date,value,yoy_pct
2002-12-18,2.5921,
2002-12-25,2.6179,
2003-01-01,2.6527,
2003-01-08,2.5978,
2003-01-15,2.6082,
2003-01-22,2.6197,
2003-01-29,2.613,
2003-02-05,2.679,
2003-02-12,2.6439,
2003-02-19,2.6804,
2003-02-26,2.7002,
2003-03-05,2.793,
2003-03-12,2.7484,
2003-03-19,2.7935,
2003-03-26,2.7567,
2003-04-02,2.6689,
2003-04-09,2.6225,
2003-04-16,2.6525,
2003-04-23,2.6487,
2003-04-30,2.719,
2003-05-07,2.7173,
2003-05-14,2.7451,
2003-05-21,2.7531,
2003-05-28,2.7777,
2003-06-04,2.7261,
2003-06-11,2.7217,
2003-06-18,2.7326,
2003-06-25,2.7274,
2003-07-02,2.743,
2003-07-09,2.724,
2003-07-16,2.7011,
2003-07-23,2.723,
2003-07-30,2.7304,
2003-08-06,2.7123,
2003-08-13,2.7327,
2003-08-20,2.7227,
2003-08-27,2.7032,
2003-09-03,2.7883,
2003-09-10,2.7869,
2003-09-17,2.8026,
2003-09-24,2.8735,
2003-10-01,2.9197,
2003-10-08,2.9048,
2003-10-15,2.9121,
2003-10-22,2.9062,
2003-10-29,2.9182,
2003-11-05,2.9094,
2003-11-12,2.9346,
2003-11-19,2.947,
2003-11-26,2.9777,
2003-12-03,2.9722,
2003-12-10,3.0169,
2003-12-17,3.0256,
2003-12-24,3.0493,17.64
2003-12-31,3.0499,16.5
2004-01-07,3.0929,16.59
2004-01-14,3.063,17.91
2004-01-21,3.0687,17.66
2004-01-28,3.0777,17.48
2004-02-04,3.1208,19.43
2004-02-11,3.1319,16.91
2004-02-18,3.1219,18.08
2004-02-25,3.0617,14.23
2004-03-03,3.1059,15.02
2004-03-10,3.1061,11.21
2004-03-17,3.1413,14.3
2004-03-24,3.1627,13.22
2004-03-31,3.2153,16.64
2004-04-07,3.0992,16.12
2004-04-14,3.0502,16.31
2004-04-21,3.01,13.48
2004-04-28,3.0284,14.34
2004-05-05,3.0789,13.24
2004-05-12,3.0012,10.45
2004-05-19,3.0018,9.35
2004-05-26,3.0569,11.03
2004-06-02,3.0482,9.74
2004-06-09,3.0525,11.97
2004-06-16,3.0284,11.27
2004-06-23,3.0646,12.15
2004-06-30,3.1019,13.73
2004-07-07,3.084,12.43
2004-07-14,3.0715,12.76
2004-07-21,3.033,12.29
2004-07-28,3.0194,10.89
2004-08-04,3.0796,12.79
2004-08-11,3.0928,14.03
2004-08-18,3.0995,13.42
2004-08-25,3.0819,13.19
2004-09-01,3.1315,15.84
2004-09-08,3.1317,12.32
2004-09-15,3.1151,11.78
2004-09-22,3.117,11.22
2004-09-29,3.1341,9.07
2004-10-06,3.1099,6.51
2004-10-13,3.1368,7.99
2004-10-20,3.1611,8.55
2004-10-27,3.2028,10.21
2004-11-03,3.3259,13.97
2004-11-10,3.3382,14.74
2004-11-17,3.3695,14.82
2004-11-24,3.423,16.15
2004-12-01,3.4099,14.51
2004-12-08,3.3885,14.01
2004-12-15,3.4244,13.51
2004-12-22,3.4193,13.01
2004-12-29,3.4407,12.84
2005-01-05,3.4086,11.76
2005-01-12,3.3997,9.92
2005-01-19,3.3928,10.77
2005-01-26,3.4116,11.17
2005-02-02,3.4245,11.27
2005-02-09,3.3789,8.27
2005-02-16,3.3948,8.39
2005-02-23,3.4363,10.07
2005-03-02,3.4383,12.3
2005-03-09,3.4622,11.47
2005-03-16,3.4684,11.66
2005-03-23,3.4072,8.46
2005-03-30,3.4091,7.79
2005-04-06,3.3463,4.07
2005-04-13,3.3765,8.95
2005-04-20,3.3875,11.06
2005-04-27,3.4093,13.27
2005-05-04,3.4216,12.98
2005-05-11,3.3928,10.2
2005-05-18,3.3503,11.63
2005-05-25,3.3535,11.72
2005-06-01,3.2823,7.37
2005-06-08,3.3216,8.97
2005-06-15,3.2656,6.98
2005-06-22,3.2761,8.18
2005-06-29,3.2891,7.33
2005-07-06,3.3171,6.94
2005-07-13,3.3216,7.7
2005-07-20,3.2985,7.39
2005-07-27,3.3214,9.51
2005-08-03,3.4118,13.0
2005-08-10,3.4046,10.55
2005-08-17,3.4086,10.21
2005-08-24,3.3876,9.3
2005-08-31,3.4125,10.73
2005-09-07,3.3837,8.05
2005-09-14,3.3694,7.59
2005-09-21,3.3207,6.6
2005-09-28,3.3022,5.94
2005-10-05,3.3101,5.62
2005-10-12,3.3115,6.48
2005-10-19,3.2727,4.33
2005-10-26,3.3014,4.44
2005-11-02,3.3271,3.88
2005-11-09,3.2914,-1.04
2005-11-16,3.2637,-2.23
2005-11-23,3.2917,-2.31
2005-11-30,3.3044,-3.46
2005-12-07,3.3081,-2.99
2005-12-14,3.4175,0.86
2005-12-21,3.3754,-1.43
2005-12-28,3.3816,-1.1
2006-01-04,3.4214,-0.56
2006-01-11,3.4311,0.66
2006-01-18,3.4098,0.3
2006-01-25,3.4377,1.32
2006-02-01,3.4005,-0.33
2006-02-08,3.3409,-2.44
2006-02-15,3.3575,-0.63
2006-02-22,3.3634,-0.92
2006-03-01,3.3508,-2.49
2006-03-08,3.3258,-3.27
2006-03-15,3.3454,-3.37
2006-03-22,3.3418,-3.65
2006-03-29,3.3339,-2.15
2006-04-05,3.25,-4.67
2006-04-12,3.2259,-3.6
2006-04-19,3.2691,-3.18
2006-04-26,3.3297,-1.71
2006-05-03,3.2918,-3.45
2006-05-10,3.3305,-2.66
2006-05-17,3.3169,-2.24
2006-05-24,3.3009,-1.47
2006-05-31,3.3366,-0.5
2006-06-07,3.2414,-1.25
2006-06-14,3.2018,-3.61
2006-06-21,3.2137,-1.59
2006-06-28,3.2164,-1.82
2006-07-05,3.2705,-0.57
2006-07-12,3.2614,-1.68
2006-07-19,3.2318,-2.7
2006-07-26,3.2548,-1.32
2006-08-02,3.2831,-1.15
2006-08-09,3.2603,-4.44
2006-08-16,3.2531,-4.45
2006-08-23,3.2232,-5.44
2006-08-30,3.2459,-4.18
2006-09-06,3.2706,-4.16
2006-09-13,3.2455,-4.08
2006-09-20,3.2394,-3.86
2006-09-27,3.2621,-1.76
2006-10-04,3.2372,-1.97
2006-10-11,3.2219,-2.66
2006-10-18,3.201,-3.34
2006-10-25,3.2315,-1.26
2006-11-01,3.2974,-0.12
2006-11-08,3.2875,-1.19
2006-11-15,3.2849,-0.2
2006-11-22,3.3209,1.75
2006-11-29,3.3659,2.25
2006-12-06,3.3649,1.83
2006-12-13,3.3526,1.35
2006-12-20,3.3415,-2.22
2006-12-27,3.3422,-0.98
2007-01-03,3.3489,-0.97
2007-01-10,3.3077,-3.32
2007-01-17,3.2841,-4.28
2007-01-24,3.2803,-3.8
2007-01-31,3.3052,-3.85
2007-02-07,3.3105,-2.65
2007-02-14,3.3211,-0.59
2007-02-21,3.3319,-0.76
2007-02-28,3.394,0.91
2007-03-07,3.3427,-0.24
2007-03-14,3.3529,0.81
2007-03-21,3.3233,-0.66
2007-03-28,3.3581,0.49
2007-04-04,3.3089,-0.75
2007-04-11,3.3275,2.38
2007-04-18,3.3343,3.36
2007-04-25,3.3622,2.85
2007-05-02,3.3859,1.69
2007-05-09,3.3516,1.82
2007-05-16,3.3243,-0.19
2007-05-23,3.3347,0.54
2007-05-30,3.3549,1.64
2007-06-06,3.2891,-1.42
2007-06-13,3.2467,0.16
2007-06-20,3.2603,1.83
2007-06-27,3.2759,1.94
2007-07-04,3.402,5.77
2007-07-11,3.3909,3.68
2007-07-18,3.3938,4.06
2007-07-25,3.3995,5.19
2007-08-01,3.4626,6.38
2007-08-08,3.4408,4.8
2007-08-15,3.4994,7.33
