date,value
1956-05-01,6.4
1956-06-01,6.8
1956-07-01,6.8
1956-08-01,6.8
1956-09-01,7.0
1956-10-01,7.0
1956-11-01,7.2
1956-12-01,7.3
1957-01-01,7.3
1957-02-01,7.4
1957-03-01,7.5
1957-04-01,7.4
1957-05-01,7.4
1957-06-01,7.4
1957-07-01,7.5
1957-08-01,7.6
1957-09-01,7.6
1957-10-01,7.7
1957-11-01,7.7
1957-12-01,7.7
1958-01-01,7.5
1958-02-01,7.5
1958-03-01,7.4
1958-04-01,7.4
1958-05-01,7.3
1958-06-01,7.1
1958-07-01,6.7
1958-08-01,6.5
1958-09-01,6.2
1958-10-01,6.0
1958-11-01,5.9
1958-12-01,5.9
1959-01-01,5.8
1959-02-01,5.6
1959-03-01,5.6
1959-04-01,5.6
1959-05-01,5.7
1959-06-01,5.7
1959-07-01,5.6
1959-08-01,5.5
1959-09-01,5.8
1959-10-01,6.0
1959-11-01,6.1
1959-12-01,6.2
1960-01-01,6.5
1960-02-01,6.4
1960-03-01,6.4
1960-04-01,6.4
1960-05-01,6.4
1960-06-01,6.6
1960-07-01,6.7
1960-08-01,6.5
1960-09-01,6.5
1960-10-01,6.3
1960-11-01,6.2
1960-12-01,6.2
1961-01-01,6.1
1961-02-01,6.0
1961-03-01,5.9
1961-04-01,5.7
1961-05-01,5.6
1961-06-01,5.6
1961-07-01,5.7
1961-08-01,5.9
1961-09-01,6.0
1961-10-01,6.0
1961-11-01,6.0
1961-12-01,6.0
1962-01-01,5.9
1962-02-01,5.7
1962-03-01,5.6
1962-04-01,5.6
1962-05-01,5.8
1962-06-01,5.9
1962-07-01,5.9
1962-08-01,6.0
1962-09-01,6.0
1962-10-01,6.2
1962-11-01,6.2
1962-12-01,6.1
1963-01-01,6.0
1963-02-01,6.0
1963-03-01,6.0
1963-04-01,6.0
1963-05-01,6.1
1963-06-01,6.1
1963-07-01,6.1
1963-08-01,6.1
1963-09-01,6.1
1963-10-01,6.1
1963-11-01,6.0
1963-12-01,6.0
1964-01-01,5.9
1964-02-01,5.9
1964-03-01,6.0
1964-04-01,6.2
1964-05-01,6.3
1964-06-01,6.3
1964-07-01,6.3
1964-08-01,6.3
1964-09-01,6.4
1964-10-01,6.4
1964-11-01,6.4
1964-12-01,6.4
1965-01-01,6.4
1965-02-01,6.5
1965-03-01,6.5
1965-04-01,6.6
1965-05-01,6.9
1965-06-01,7.1
1965-07-01,7.2
1965-08-01,7.3
1965-09-01,7.4
1965-10-01,7.5
1965-11-01,7.5
1965-12-01,7.7
1966-01-01,7.6
1966-02-01,7.6
1966-03-01,7.7
1966-04-01,8.0
1966-05-01,8.2
1966-06-01,8.4
1966-07-01,8.6
1966-08-01,8.6
1966-09-01,8.5
1966-10-01,8.4
1966-11-01,8.2
1966-12-01,7.7
1967-01-01,7.5
1967-02-01,7.4
1967-03-01,7.2
1967-04-01,6.9
1967-05-01,6.9
1967-06-01,6.9
1967-07-01,6.9
1967-08-01,6.8
1967-09-01,6.7
1967-10-01,6.7
1967-11-01,6.8
1967-12-01,6.8
1968-01-01,6.7
1968-02-01,6.7
1968-03-01,6.7
1968-04-01,6.6
1968-05-01,6.4
1968-06-01,6.4
1968-07-01,6.4
1968-08-01,6.3
1968-09-01,6.3
1968-10-01,6.3
1968-11-01,6.3
1968-12-01,6.3
1969-01-01,6.3
1969-02-01,6.3
1969-03-01,6.4
1969-04-01,6.5
1969-05-01,6.5
1969-06-01,6.7
1969-07-01,6.9
1969-08-01,6.9
1969-09-01,7.2
1969-10-01,7.4
1969-11-01,7.4
1969-12-01,7.6
1970-01-01,7.6
1970-02-01,7.8
1970-03-01,8.1
1970-04-01,8.1
1970-05-01,8.4
1970-06-01,8.7
1970-07-01,8.7
1970-08-01,8.4
1970-09-01,8.5
1970-10-01,8.7
1970-11-01,8.6
1970-12-01,8.2
1971-01-01,7.7
1971-02-01,7.7
1971-03-01,7.9
1971-04-01,7.9
1971-05-01,8.0
1971-06-01,8.2
1971-07-01,8.3
1971-08-01,8.3
1971-09-01,8.1
1971-10-01,8.0
1971-11-01,7.9
1971-12-01,7.9
1972-01-01,7.6
1972-02-01,7.3
1972-03-01,7.4
1972-04-01,7.7
1972-05-01,7.8
1972-06-01,7.9
1972-07-01,8.0
1972-08-01,7.9
1972-09-01,7.9
1972-10-01,8.0
1972-11-01,8.4
1972-12-01,8.6
1973-01-01,8.6
1973-02-01,8.6
1973-03-01,8.6
1973-04-01,8.8
1973-05-01,9.2
1973-06-01,9.9
1973-07-01,9.9
1973-08-01,9.8
1973-09-01,9.6
1973-10-01,9.7
1973-11-01,9.4
1973-12-01,9.6
1974-01-01,9.6
1974-02-01,9.9
1974-03-01,10.5
1974-04-01,10.4
1974-05-01,10.6
1974-06-01,10.7
1974-07-01,10.8
1974-08-01,10.8
1974-09-01,10.8
1974-10-01,10.8
1974-11-01,10.5
1974-12-01,9.9
1975-01-01,9.4
1975-02-01,8.9
1975-03-01,8.9
1975-04-01,8.8
1975-05-01,8.6
1975-06-01,8.4
1975-07-01,8.5
1975-08-01,8.5
1975-09-01,8.5
1975-10-01,8.5
1975-11-01,8.6
1975-12-01,8.5
1976-01-01,8.3
1976-02-01,8.2
1976-03-01,7.9
1976-04-01,7.9
1976-05-01,8.1
1976-06-01,8.2
1976-07-01,8.4
1976-08-01,8.3
1976-09-01,8.1
1976-10-01,8.0
1976-11-01,7.6
1976-12-01,7.4
1977-01-01,7.2
1977-02-01,7.2
1977-03-01,7.0
1977-04-01,6.6
1977-05-01,6.5
1977-06-01,6.6
1977-07-01,6.4
1977-08-01,6.2
1977-09-01,6.2
1977-10-01,6.2
1977-11-01,6.2
1977-12-01,6.1
1978-01-01,5.9
