date,value
1998-04-01,800652.0
1998-05-01,771888.0
1998-06-01,753964.0
1998-07-01,724375.0
1998-08-01,763742.0
1998-09-01,783667.0
1998-10-01,775368.0
1998-11-01,883012.0
1998-12-01,912382.0
1999-01-01,797188.0
1999-02-01,755897.0
1999-03-01,797450.0
1999-04-01,791152.0
1999-05-01,744742.0
1999-06-01,734211.0
1999-07-01,686329.0
1999-08-01,680224.0
1999-09-01,688207.0
1999-10-01,680064.0
1999-11-01,841508.0
1999-12-01,1113478.0
2000-01-01,905251.0
2000-02-01,941085.0
2000-03-01,1062017.0
2000-04-01,797289.0
2000-05-01,838507.0
2000-06-01,837194.0
2000-07-01,807840.0
2000-08-01,885391.0
2000-09-01,853390.0
2000-10-01,920988.0
2000-11-01,1054097.0
2000-12-01,1067962.0
2001-01-01,1078487.0
2001-02-01,1102160.0
2001-03-01,1150959.0
2001-04-01,1123259.0
2001-05-01,1138146.0
2001-06-01,1169329.0
2001-07-01,1163779.0
2001-08-01,1133882.0
2001-09-01,1156156.0
2001-10-01,1107271.0
2001-11-01,1133942.0
2001-12-01,1175079.0
2002-01-01,1224388.0
2002-02-01,1313520.0
2002-03-01,1385648.0
2002-04-01,1328094.0
2002-05-01,1279453.0
2002-06-01,1241193.0
2002-07-01,1265421.0
2002-08-01,1284793.0
2002-09-01,1244691.0
2002-10-01,1246432.0
2002-11-01,1250866.0
2002-12-01,1251263.0
2003-01-01,1245386.0
2003-02-01,1325273.0
2003-03-01,1411674.0
2003-04-01,1283101.0
2003-05-01,1306815.0
2003-06-01,1252605.0
2003-07-01,1263771.0
2003-08-01,1283228.0
2003-09-01,1339295.0
2003-10-01,1322521.0
2003-11-01,1347558.0
2003-12-01,1313685.0
2004-01-01,1354300.0
2004-02-01,1405509.0
2004-03-01,1493819.0
2004-04-01,1382514.0
2004-05-01,1390667.0
2004-06-01,1347362.0
2004-07-01,1314783.0
2004-08-01,1382251.0
2004-09-01,1394564.0
2004-10-01,1384015.0
2004-11-01,1478802.0
2004-12-01,1445467.0
2005-01-01,1473561.0
2005-02-01,1514085.0
2005-03-01,1505173.0
2005-04-01,1473513.0
2005-05-01,1477619.0
2005-06-01,1442122.0
2005-07-01,1476503.0
2005-08-01,1513847.0
2005-09-01,1481357.0
2005-10-01,1477546.0
2005-11-01,1519701.0
2005-12-01,1556071.0
2006-01-01,1528656.0
2006-02-01,1523477.0
2006-03-01,1448629.0
2006-04-01,1299799.0
2006-05-01,1227935.0
2006-06-01,1138328.0
2006-07-01,1159675.0
2006-08-01,1132672.0
2006-09-01,1174523.0
2006-10-01,1151993.0
2006-11-01,1185414.0
2006-12-01,1155436.0
2007-01-01,1146223.0
2007-02-01,1176947.0
2007-03-01,1127409.0
2007-04-01,1060053.0
2007-05-01,1075105.0
2007-06-01,1000712.0
2007-07-01,1077171.0
2007-08-01,1107917.0
2007-09-01,1110324.0
2007-10-01,1073472.0
2007-11-01,1114939.0
2007-12-01,1112844.0
2008-01-01,1130604.0
2008-02-01,1142477.0
2008-03-01,1134262.0
2008-04-01,1072225.0
2008-05-01,1101273.0
2008-06-01,1014199.0
2008-07-01,1083652.0
2008-08-01,1098870.0
2008-09-01,1125287.0
2008-10-01,1168028.0
2008-11-01,1215262.0
2008-12-01,1227708.0
2009-01-01,1195135.0
2009-02-01,1221730.0
2009-03-01,1238886.0
2009-04-01,1147983.0
2009-05-01,1187973.0
2009-06-01,1098429.0
2009-07-01,1147349.0
2009-08-01,1171842.0
2009-09-01,1163248.0
2009-10-01,1114000.0
2009-11-01,1172964.0
2009-12-01,1225336.0
2010-01-01,1224342.0
2010-02-01,1267675.0
2010-03-01,1218241.0
2010-04-01,1142013.0
2010-05-01,1209586.0
2010-06-01,1132336.0
2010-07-01,1173742.0
2010-08-01,1230414.0
2010-09-01,1203317.0
2010-10-01,1214171.0
2010-11-01,1270457.0
2010-12-01,1287104.0
2011-01-01,1279996.0
2011-02-01,1301181.0
2011-03-01,1423631.0
2011-04-01,1346213.0
2011-05-01,1351200.0
2011-06-01,1295844.0
2011-07-01,1344737.0
2011-08-01,1414829.0
2011-09-01,1376890.0
2011-10-01,1329858.0
2011-11-01,1432056.0
2011-12-01,1430219.0
2012-01-01,1369064.0
2012-02-01,1442443.0
2012-03-01,1394569.0
2012-04-01,1412065.0
2012-05-01,1428007.0
2012-06-01,1436265.0
2012-07-01,1454954.0
2012-08-01,1499672.0
2012-09-01,1499208.0
2012-10-01,1537316.0
2012-11-01,1563579.0
2012-12-01,1583627.0
2013-01-01,1597903.0
2013-02-01,1635325.0
2013-03-01,1648127.0
2013-04-01,1746913.0
2013-05-01,1842861.0
2013-06-01,1870684.0
2013-07-01,1967581.0
2013-08-01,2056918.0
2013-09-01,2088625.0
2013-10-01,2155142.0
2013-11-01,2240888.0
2013-12-01,2241897.0
2014-01-01,2321780.0
2014-02-01,2404502.0
2014-03-01,2415798.0
2014-04-01,2461764.0
2014-05-01,2539730.0
2014-06-01,2577613.0
2014-07-01,2689676.0
2014-08-01,2758955.0
2014-09-01,2770994.0
2014-10-01,2868380.0
2014-11-01,2973747.0
2014-12-01,3002117.0
2015-01-01,3111731.0
2015-02-01,3204418.0
2015-03-01,3235937.0
2015-04-01,3328186.0
2015-05-01,3431402.0
2015-06-01,3454395.0
2015-07-01,3542941.0
2015-08-01,3614591.0
2015-09-01,3661278.0
2015-10-01,3735537.0
2015-11-01,3812542.0
2015-12-01,3831076.0
2016-01-01,3964498.0
2016-02-01,4037909.0
2016-03-01,4056481.0
2016-04-01,4144163.0
2016-05-01,4256697.0
2016-06-01,4327586.0
2016-07-01,4430848.0
2016-08-01,4529802.0
2016-09-01,4568058.0
2016-10-01,4633922.0
2016-11-01,4711310.0
2016-12-01,4764980.0
2017-01-01,4819817.0
2017-02-01,4879011.0
2017-03-01,4900893.0
2017-04-01,4977463.0
2017-05-01,5008008.0
2017-06-01,5021084.0
2017-07-01,5055602.0
2017-08-01,5115845.0
2017-09-01,5134438.0
2017-10-01,5180461.0
2017-11-01,5218600.0
2017-12-01,5214161.0
2018-01-01,5267036.0
2018-02-01,5331792.0
2018-03-01,5282856.0
2018-04-01,5350510.0
2018-05-01,5408036.0
2018-06-01,5370168.0
2018-07-01,5463108.0
2018-08-01,5509363.0
2018-09-01,5456615.0
2018-10-01,5518054.0
2018-11-01,5555010.0
2018-12-01,5520843.0
2019-01-01,5569180.0
2019-02-01,5619262.0
2019-03-01,5570243.0
2019-04-01,5620357.0
2019-05-01,5671565.0
2019-06-01,5648665.0
2019-07-01,5683142.0
2019-08-01,5727192.0
2019-09-01,5698026.0
2019-10-01,5756702.0
2019-11-01,5785322.0
2019-12-01,5730531.0
2020-01-01,5783352.0
2020-02-01,5849208.0
2020-03-01,6044846.0
2020-04-01,6190306.0
2020-05-01,6385922.0
2020-06-01,6489462.0
2020-07-01,6658852.0
2020-08-01,6828990.0
2020-09-01,6900269.0
2020-10-01,6982309.0
2020-11-01,7053047.0
2020-12-01,7025822.0
2021-01-01,7094935.0
2021-02-01,7126021.0
2021-03-01,7145566.0
2021-04-01,7202316.0
2021-05-01,7246409.0
2021-06-01,7169006.0
2021-07-01,7229429.0
2021-08-01,7267102.0
2021-09-01,7240579.0
2021-10-01,7251886.0
2021-11-01,7282186.0
2021-12-01,7237659.0
2022-01-01,7251444.0
2022-02-01,7305553.0
2022-03-01,7362535.0
2022-04-01,7386915.0
2022-05-01,7364911.0
2022-06-01,7327306.0
2022-07-01,7253573.0
2022-08-01,7092488.0
2022-09-01,6857902.0
2022-10-01,6959532.0
2022-11-01,6998931.0
2022-12-01,7039414.0
2023-01-01,7337761.0
2023-02-01,7395800.0
2023-03-01,7351165.0
2023-04-01,7400726.0
2023-05-01,7455518.0
2023-06-01,7328285.0
2023-07-01,7416142.0
2023-08-01,7485376.0
2023-09-01,7414910.0
2023-10-01,7506502.0
