date,value,yoy_pct
2003-04-01,676.7067,
2003-05-01,677.0869,
2003-06-01,677.755,
2003-07-01,681.3055,
2003-08-01,680.7344,
2003-09-01,676.8459,
2003-10-01,675.5731,
2003-11-01,675.7284,
2003-12-01,682.584,
2004-01-01,683.3119,
2004-02-01,679.7767,
2004-03-01,682.5916,
2004-04-01,689.1883,1.84
2004-05-01,690.3843,1.96
2004-06-01,689.4824,1.73
2004-07-01,693.7875,1.83
2004-08-01,693.3689,1.86
2004-09-01,690.7282,2.05
2004-10-01,689.0506,1.99
2004-11-01,689.4786,2.03
2004-12-01,696.0622,1.97
2005-01-01,696.5712,1.94
2005-02-01,692.0502,1.81
2005-03-01,696.5119,2.04
2005-04-01,701.5356,1.79
2005-05-01,700.3169,1.44
2005-06-01,700.6819,1.62
2005-07-01,705.0604,1.62
2005-08-01,704.3747,1.59
2005-09-01,704.6184,2.01
2005-10-01,702.1746,1.9
2005-11-01,703.6014,2.05
2005-12-01,708.9899,1.86
2006-01-01,708.7795,1.75
2006-02-01,703.7961,1.7
2006-03-01,706.1195,1.38
2006-04-01,712.911,1.62
2006-05-01,709.3181,1.29
2006-06-01,708.5888,1.13
2006-07-01,708.5186,0.49
2006-08-01,707.307,0.42
2006-09-01,708.1933,0.51
2006-10-01,705.9775,0.54
2006-11-01,707.8251,0.6
2006-12-01,713.7934,0.68
2007-01-01,715.1423,0.9
2007-02-01,710.8923,1.01
2007-03-01,713.8415,1.09
2007-04-01,721.0967,1.15
2007-05-01,719.5192,1.44
2007-06-01,721.6367,1.84
2007-07-01,722.8811,2.03
2007-08-01,719.8156,1.77
2007-09-01,720.1921,1.69
2007-10-01,719.3436,1.89
2007-11-01,722.0662,2.01
2007-12-01,728.5588,2.07
2008-01-01,730.4457,2.14
2008-02-01,727.6617,2.36
2008-03-01,729.9474,2.26
2008-04-01,734.5919,1.87
2008-05-01,734.2982,2.05
2008-06-01,737.8298,2.24
2008-07-01,738.1435,2.11
2008-08-01,737.1732,2.41
2008-09-01,735.8569,2.18
2008-10-01,732.5322,1.83
2008-11-01,734.996,1.79
2008-12-01,741.7325,1.81
2009-01-01,744.7359,1.96
2009-02-01,743.2345,2.14
2009-03-01,746.2845,2.24
2009-04-01,754.2195,2.67
2009-05-01,753.9544,2.68
2009-06-01,756.4651,2.53
2009-07-01,758.1721,2.71
2009-08-01,757.9114,2.81
2009-09-01,757.7582,2.98
2009-10-01,757.4488,3.4
2009-11-01,759.2868,3.3
2009-12-01,764.4352,3.06
2010-01-01,766.8556,2.97
2010-02-01,763.5656,2.74
2010-03-01,766.2193,2.67
2010-04-01,775.9675,2.88
2010-05-01,777.3641,3.1
2010-06-01,778.428,2.9
2010-07-01,778.8079,2.72
2010-08-01,778.9657,2.78
2010-09-01,778.8638,2.79
2010-10-01,778.4699,2.78
2010-11-01,778.8978,2.58
2010-12-01,782.2875,2.34
2011-01-01,784.3991,2.29
2011-02-01,781.829,2.39
2011-03-01,786.0811,2.59
2011-04-01,797.0763,2.72
2011-05-01,798.3201,2.7
2011-06-01,800.5162,2.84
2011-07-01,801.7214,2.94
2011-08-01,799.7234,2.66
2011-09-01,800.0077,2.71
2011-10-01,800.2828,2.8
2011-11-01,802.4423,3.02
2011-12-01,806.9214,3.15
2012-01-01,808.2743,3.04
2012-02-01,804.769,2.93
2012-03-01,809.2707,2.95
2012-04-01,817.8578,2.61
2012-05-01,815.7056,2.18
2012-06-01,818.5426,2.25
2012-07-01,819.976,2.28
2012-08-01,819.1274,2.43
2012-09-01,819.2726,2.41
2012-10-01,818.3764,2.26
2012-11-01,819.3913,2.11
2012-12-01,827.6923,2.57
2013-01-01,829.9554,2.68
2013-02-01,828.2805,2.92
2013-03-01,833.8735,3.04
2013-04-01,843.7335,3.16
2013-05-01,844.0305,3.47
2013-06-01,849.6379,3.8
2013-07-01,850.5401,3.73
2013-08-01,849.8909,3.76
2013-09-01,850.7913,3.85
2013-10-01,852.0882,4.12
2013-11-01,855.0157,4.35
2013-12-01,862.7674,4.24
2014-01-01,865.8882,4.33
2014-02-01,861.1077,3.96
2014-03-01,863.4439,3.55
2014-04-01,872.8308,3.45
2014-05-01,871.6091,3.27
2014-06-01,875.3539,3.03
2014-07-01,875.7077,2.96
2014-08-01,875.1629,2.97
2014-09-01,876.7152,3.05
2014-10-01,878.8034,3.14
2014-11-01,885.4,3.55
2014-12-01,893.1353,3.52
2015-01-01,894.6578,3.32
2015-02-01,890.8583,3.45
2015-03-01,894.3131,3.58
2015-04-01,904.0704,3.58
2015-05-01,907.0027,4.06
2015-06-01,909.0087,3.84
2015-07-01,910.2447,3.94
2015-08-01,911.2081,4.12
2015-09-01,909.6904,3.76
2015-10-01,910.5777,3.62
2015-11-01,914.5928,3.3
2015-12-01,920.6476,3.08
2016-01-01,922.6554,3.13
2016-02-01,918.3408,3.08
2016-03-01,921.4352,3.03
2016-04-01,933.7483,3.28
2016-05-01,936.834,3.29
2016-06-01,939.4599,3.35
2016-07-01,940.4959,3.32
2016-08-01,939.9942,3.16
2016-09-01,940.743,3.41
2016-10-01,942.9381,3.55
2016-11-01,949.4509,3.81
2016-12-01,956.3427,3.88
2017-01-01,959.0487,3.94
2017-02-01,956.1292,4.11
2017-03-01,959.7629,4.16
2017-04-01,970.2896,3.91
2017-05-01,972.3663,3.79
2017-06-01,976.3583,3.93
2017-07-01,978.1486,4.0
2017-08-01,977.6216,4.0
2017-09-01,978.8225,4.05
2017-10-01,981.3059,4.07
2017-11-01,987.4847,4.01
2017-12-01,990.5721,3.58
2018-01-01,991.7009,3.4
2018-02-01,986.5773,3.18
2018-03-01,989.0903,3.06
2018-04-01,1001.0867,3.17
2018-05-01,1003.1511,3.17
2018-06-01,1006.6296,3.1
2018-07-01,1006.8028,2.93
2018-08-01,1005.6582,2.87
2018-09-01,1006.59,2.84
2018-10-01,1007.4396,2.66
2018-11-01,1010.5049,2.33
2018-12-01,1014.2429,2.39
2019-01-01,1014.7973,2.33
2019-02-01,1009.7697,2.35
2019-03-01,1012.505,2.37
2019-04-01,1025.2191,2.41
2019-05-01,1028.631,2.54
2019-06-01,1028.9611,2.22
2019-07-01,1029.0435,2.21
2019-08-01,1028.4205,2.26
2019-09-01,1029.5668,2.28
2019-10-01,1030.4091,2.28
2019-11-01,1036.5381,2.58
2019-12-01,1040.4214,2.58
2020-01-01,1041.6148,2.64
2020-02-01,1038.481,2.84
2020-03-01,1044.2899,3.14
2020-04-01,1063.0037,3.69
2020-05-01,1081.2699,5.12
2020-06-01,1103.6494,7.26
2020-07-01,1110.2775,7.89
2020-08-01,1116.8053,8.59
2020-09-01,1121.9593,8.97
2020-10-01,1123.2567,9.01
2020-11-01,1130.6001,9.07
2020-12-01,1135.968,9.18
2021-01-01,1140.0194,9.45
2021-02-01,1138.4748,9.63
2021-03-01,1143.6375,9.51
2021-04-01,1161.7797,9.29
2021-05-01,1167.5413,7.98
2021-06-01,1169.0901,5.93
2021-07-01,1169.0056,5.29
2021-08-01,1168.8405,4.66
2021-09-01,1169.1501,4.21
2021-10-01,1170.5647,4.21
2021-11-01,1175.6672,3.99
2021-12-01,1178.2086,3.72
2022-01-01,1181.3179,3.62
2022-02-01,1178.9009,3.55
