date,value,yoy_pct
1959-01-01,286.6,
1959-02-01,287.7,
1959-03-01,289.2,
1959-04-01,290.1,
1959-05-01,292.2,
1959-06-01,294.1,
1959-07-01,295.2,
1959-08-01,296.4,
1959-09-01,296.7,
1959-10-01,296.5,
1959-11-01,297.1,
1959-12-01,297.8,
1960-01-01,298.2,4.05
1960-02-01,298.4,3.72
1960-03-01,299.3,3.49
1960-04-01,300.1,3.45
1960-05-01,300.9,2.98
1960-06-01,302.3,2.79
1960-07-01,304.1,3.01
1960-08-01,306.9,3.54
1960-09-01,308.4,3.94
1960-10-01,309.5,4.38
1960-11-01,310.9,4.64
1960-12-01,312.4,4.9
1961-01-01,314.1,5.33
1961-02-01,316.5,6.07
1961-03-01,318.3,6.35
1961-04-01,319.9,6.6
1961-05-01,322.2,7.08
1961-06-01,324.3,7.28
1961-07-01,325.6,7.07
1961-08-01,327.6,6.74
1961-09-01,329.5,6.84
1961-10-01,331.1,6.98
1961-11-01,333.4,7.24
1961-12-01,335.5,7.39
1962-01-01,337.5,7.45
1962-02-01,340.1,7.46
1962-03-01,343.1,7.79
1962-04-01,345.5,8.0
1962-05-01,347.5,7.85
1962-06-01,349.3,7.71
1962-07-01,350.8,7.74
1962-08-01,352.8,7.69
1962-09-01,354.9,7.71
1962-10-01,357.2,7.88
1962-11-01,359.8,7.92
1962-12-01,362.7,8.11
1963-01-01,365.2,8.21
1963-02-01,367.9,8.17
1963-03-01,370.7,8.04
1963-04-01,373.3,8.05
1963-05-01,376.1,8.23
1963-06-01,378.4,8.33
1963-07-01,381.1,8.64
1963-08-01,383.6,8.73
1963-09-01,386.0,8.76
1963-10-01,388.3,8.71
1963-11-01,391.5,8.81
1963-12-01,393.2,8.41
1964-01-01,395.2,8.21
1964-02-01,397.6,8.07
1964-03-01,399.8,7.85
1964-04-01,401.7,7.61
1964-05-01,404.2,7.47
1964-06-01,407.1,7.58
1964-07-01,410.1,7.61
1964-08-01,413.4,7.77
1964-09-01,416.9,8.01
1964-10-01,419.1,7.93
1964-11-01,422.0,7.79
1964-12-01,424.7,8.01
1965-01-01,427.5,8.17
1965-02-01,430.4,8.25
1965-03-01,433.2,8.35
1965-04-01,435.4,8.39
1965-05-01,437.1,8.14
1965-06-01,440.1,8.11
1965-07-01,442.9,8.0
1965-08-01,445.8,7.84
1965-09-01,449.5,7.82
1965-10-01,452.6,7.99
1965-11-01,455.7,7.99
1965-12-01,459.2,8.12
1966-01-01,462.0,8.07
1966-02-01,464.6,7.95
1966-03-01,467.2,7.85
1966-04-01,469.3,7.79
1966-05-01,470.1,7.55
1966-06-01,471.2,7.07
1966-07-01,470.9,6.32
1966-08-01,472.6,6.01
1966-09-01,475.4,5.76
1966-10-01,475.7,5.1
1966-11-01,477.3,4.74
1966-12-01,480.2,4.57
1967-01-01,481.6,4.24
1967-02-01,485.1,4.41
1967-03-01,489.7,4.82
1967-04-01,492.1,4.86
1967-05-01,497.2,5.76
1967-06-01,502.0,6.54
1967-07-01,506.3,7.52
1967-08-01,510.8,8.08
1967-09-01,514.7,8.27
1967-10-01,518.2,8.93
1967-11-01,521.2,9.2
1967-12-01,524.8,9.29
1968-01-01,527.4,9.51
1968-02-01,530.4,9.34
1968-03-01,533.2,8.88
1968-04-01,535.7,8.86
1968-05-01,538.9,8.39
1968-06-01,542.6,8.09
1968-07-01,545.6,7.76
1968-08-01,549.4,7.56
1968-09-01,553.6,7.56
1968-10-01,557.6,7.6
1968-11-01,562.4,7.9
1968-12-01,566.8,8.0
1969-01-01,569.3,7.94
1969-02-01,571.9,7.82
1969-03-01,574.4,7.73
1969-04-01,575.7,7.47
1969-05-01,576.5,6.98
1969-06-01,578.5,6.62
1969-07-01,579.5,6.21
1969-08-01,580.1,5.59
1969-09-01,582.1,5.15
1969-10-01,583.4,4.63
1969-11-01,585.4,4.09
1969-12-01,587.9,3.72
1970-01-01,589.6,3.57
1970-02-01,586.3,2.52
1970-03-01,587.3,2.25
1970-04-01,588.4,2.21
1970-05-01,591.5,2.6
1970-06-01,595.2,2.89
1970-07-01,599.1,3.38
1970-08-01,604.9,4.28
1970-09-01,611.2,5.0
1970-10-01,616.4,5.66
1970-11-01,621.1,6.1
1970-12-01,626.5,6.57
1971-01-01,632.9,7.34
1971-02-01,641.0,9.33
1971-03-01,649.9,10.66
1971-04-01,658.4,11.9
1971-05-01,666.7,12.71
1971-06-01,673.0,13.07
1971-07-01,679.6,13.44
1971-08-01,685.5,13.32
1971-09-01,692.5,13.3
1971-10-01,698.4,13.3
1971-11-01,704.6,13.44
1971-12-01,710.3,13.38
1972-01-01,717.7,13.4
1972-02-01,725.7,13.21
1972-03-01,733.5,12.86
1972-04-01,738.4,12.15
1972-05-01,743.3,11.49
1972-06-01,749.7,11.4
