date,value
2005-01-08,1.0363
2005-01-15,0.9627
2005-01-22,0.6312
2005-01-29,1.1755
2005-02-05,0.8551
2005-02-12,0.0787
2005-02-19,0.0676
2005-02-26,-0.3516
2005-03-05,-0.3898
2005-03-12,0.974
2005-03-19,0.1842
2005-03-26,-0.6742
2005-04-02,-0.2896
2005-04-09,1.0441
2005-04-16,0.0905
2005-04-23,0.8942
2005-04-30,0.3445
2005-05-07,-0.1222
2005-05-14,0.8598
2005-05-21,1.3033
2005-05-28,0.5369
2005-06-04,-0.2261
2005-06-11,0.7978
2005-06-18,-0.2192
2005-06-25,-0.6159
2005-07-02,0.5079
2005-07-09,0.2187
2005-07-16,0.6087
2005-07-23,-0.1754
2005-07-30,0.4502
2005-08-06,0.607
2005-08-13,0.405
2005-08-20,0.6515
2005-08-27,0.0852
2005-09-03,0.4343
2005-09-10,0.5155
2005-09-17,0.4051
2005-09-24,-1.0769
2005-10-01,0.4083
2005-10-08,-0.449
2005-10-15,0.0964
2005-10-22,0.1634
2005-10-29,0.9952
2005-11-05,0.8139
2005-11-12,1.0582
2005-11-19,1.2311
2005-11-26,0.1498
2005-12-03,1.6478
2005-12-10,0.7295
2005-12-17,0.282
2005-12-24,-0.4042
2005-12-31,-0.3663
2006-01-07,0.5504
2006-01-14,0.6034
2006-01-21,1.1676
2006-01-28,0.8438
2006-02-04,0.1239
2006-02-11,-0.9172
2006-02-18,-0.1473
2006-02-25,0.4309
2006-03-04,0.6266
2006-03-11,0.4627
2006-03-18,1.0121
2006-03-25,-0.3282
2006-04-01,-0.0191
2006-04-08,0.5488
2006-04-15,0.5547
2006-04-22,0.3614
2006-04-29,-0.47
2006-05-06,-0.1426
2006-05-13,1.6007
2006-05-20,0.6368
2006-05-27,1.9177
2006-06-03,1.3997
2006-06-10,0.6533
2006-06-17,1.1394
2006-06-24,-0.5161
2006-07-01,-1.0771
2006-07-08,0.4443
2006-07-15,0.0045
2006-07-22,-0.0386
2006-07-29,-0.2436
2006-08-05,-0.3242
2006-08-12,0.4084
2006-08-19,0.7487
2006-08-26,-0.1234
2006-09-02,0.1401
2006-09-09,-0.357
2006-09-16,-0.0566
2006-09-23,-0.6196
2006-09-30,0.6735
2006-10-07,-0.0197
2006-10-14,0.215
2006-10-21,0.2786
2006-10-28,0.1444
2006-11-04,0.3884
2006-11-11,0.6814
2006-11-18,2.0607
2006-11-25,0.7871
2006-12-02,0.1294
2006-12-09,1.0651
2006-12-16,1.5693
2006-12-23,-0.1709
2006-12-30,-0.6433
2007-01-13,-0.0839
2007-01-20,1.7882
2007-01-27,1.7406
2007-02-03,0.8499
2007-02-10,0.7223
2007-02-17,0.9121
2007-02-24,1.3589
2007-03-03,-0.4027
2007-03-10,-0.2633
2007-03-17,0.6186
2007-03-24,0.1844
2007-03-31,-0.613
2007-04-07,-0.0589
2007-04-14,-0.161
2007-04-21,0.3219
2007-04-28,-0.0575
2007-05-05,0.5317
2007-05-12,0.5353
2007-05-19,0.4198
2007-05-26,0.8147
2007-06-02,0.7849
2007-06-09,-0.4496
2007-06-16,-0.5268
2007-06-23,0.2603
2007-06-30,0.3857
2007-07-07,0.6113
2007-07-14,-0.3386
2007-07-21,1.0363
2007-07-28,-1.1123
2007-08-04,0.8861
2007-08-11,1.1975
2007-08-18,1.7046
2007-08-25,0.3304
2007-09-01,0.6307
2007-09-08,0.6598
2007-09-15,0.6706
2007-09-22,-1.603
2007-09-29,1.2461
2007-10-06,-0.4489
2007-10-13,0.2187
2007-10-20,-0.049
2007-10-27,0.7233
2007-11-03,0.5415
2007-11-10,1.6622
2007-11-17,0.9679
2007-11-24,0.4231
2007-12-01,1.3366
2007-12-08,0.398
2007-12-15,2.5044
2007-12-22,-0.6042
2007-12-29,0.2177
2008-01-12,0.0959
2008-01-19,-0.988
2008-01-26,-1.2645
2008-02-02,-0.1903
2008-02-09,0.6496
2008-02-16,0.303
2008-02-23,-1.095
2008-03-01,0.275
2008-03-08,0.4549
2008-03-15,-0.8701
2008-03-22,-1.1446
2008-03-29,-1.2342
2008-04-05,2.9098
2008-04-12,0.6896
2008-04-19,0.6554
2008-04-26,0.1164
2008-05-03,-1.026
2008-05-10,1.1859
2008-05-17,0.9644
2008-05-24,-0.2071
2008-05-31,1.5367
2008-06-07,1.6118
2008-06-14,0.672
2008-06-21,-1.6814
2008-06-28,0.3455
2008-07-05,2.1762
2008-07-12,-1.1473
2008-07-19,1.1092
2008-07-26,-0.5648
2008-08-02,0.1263
2008-08-09,1.3271
2008-08-16,-0.4486
2008-08-23,0.1925
2008-08-30,0.7837
2008-09-06,-0.7107
2008-09-13,-0.3244
2008-09-20,-0.1574
2008-09-27,-1.9221
2008-10-04,-0.7581
2008-10-11,-1.616
2008-10-18,-0.1137
2008-10-25,-0.1808
2008-11-01,-1.0471
2008-11-08,-0.5892
2008-11-15,-0.5868
2008-11-22,-1.4993
2008-11-29,-0.8326
2008-12-06,-0.4646
2008-12-13,-0.6827
2008-12-20,-1.1804
2008-12-27,-3.6295
2009-01-10,1.4257
2009-01-17,-2.4987
2009-01-24,-0.4155
2009-01-31,-0.4457
2009-02-07,0.0339
2009-02-14,-0.1141
2009-02-21,-0.221
2009-02-28,1.1648
2009-03-07,-0.5105
2009-03-14,-0.328
2009-03-21,-0.8264
2009-03-28,-2.2828
2009-04-04,0.9979
2009-04-11,-1.1078
2009-04-18,0.0732
2009-04-25,0.2099
2009-05-02,0.4161
2009-05-09,-0.4303
2009-05-16,0.574
2009-05-23,-0.8037
2009-05-30,0.3187
2009-06-06,0.4923
2009-06-13,-0.0377
2009-06-20,-0.9755
2009-06-27,-0.9209
2009-07-04,0.97
2009-07-11,-0.4938
2009-07-18,0.8391
2009-07-25,-0.1146
2009-08-01,-0.4983
2009-08-08,0.0961
2009-08-15,0.1829
2009-08-22,-0.5378
2009-08-29,1.2621
2009-09-05,0.2892
2009-09-12,-1.4687
2009-09-19,-2.5729
2009-09-26,-0.4533
2009-10-03,0.5348
2009-10-10,-0.0218
2009-10-17,0.5014
2009-10-24,0.4093
2009-10-31,-0.2448
2009-11-07,-0.4289
2009-11-14,-0.3986
2009-11-21,0.6006
2009-11-28,-0.3114
2009-12-05,1.7468
2009-12-12,-1.447
2009-12-19,1.6451
2009-12-26,-1.7154
2010-01-09,1.6536
2010-01-16,0.756
2010-01-23,0.356
2010-01-30,-0.4907
2010-02-06,-0.1907
2010-02-13,-0.1562
2010-02-20,0.8908
2010-02-27,0.685
2010-03-06,0.5139
2010-03-13,-1.003
2010-03-20,0.537
2010-03-27,-2.935
2010-04-03,-0.7031
2010-04-10,1.2387
2010-04-17,0.2654
2010-04-24,1.3042
2010-05-01,-0.8023
2010-05-08,1.4095
2010-05-15,1.3862
2010-05-22,0.2326
2010-05-29,0.8408
2010-06-05,-0.0805
2010-06-12,-1.5768
2010-06-19,0.5259
2010-06-26,-1.3489
2010-07-03,0.2057
2010-07-10,0.8643
2010-07-17,1.1247
2010-07-24,-0.1976
2010-07-31,0.1991
2010-08-07,0.9718
2010-08-14,0.0928
2010-08-21,-0.5197
2010-08-28,0.3412
2010-09-04,0.6347
2010-09-11,0.5945
2010-09-18,0.6309
2010-09-25,-0.1162
2010-10-02,0.9876
2010-10-09,-0.5367
2010-10-16,0.003
2010-10-23,1.0963
2010-10-30,0.8195
2010-11-06,0.2539
2010-11-13,0.0009
2010-11-20,0.127
2010-11-27,-0.0303
2010-12-04,1.1036
2010-12-11,-0.3031
2010-12-18,0.6271
2010-12-25,-1.0418
2011-01-08,2.0484
2011-01-15,1.2422
2011-01-22,2.4299
2011-01-29,2.0604
2011-02-05,-0.2972
2011-02-12,-0.3198
2011-02-19,1.8904
2011-02-26,0.7136
2011-03-05,0.1054
2011-03-12,-0.3025
2011-03-19,0.1878
2011-03-26,-1.2217
2011-04-02,0.7141
2011-04-09,1.4194
2011-04-16,1.4624
2011-04-23,0.4336
2011-04-30,-1.2935
2011-05-07,0.4665
2011-05-14,2.2865
2011-05-21,1.6059
2011-05-28,0.163
2011-06-04,-0.938
2011-06-11,-0.662
2011-06-18,1.3436
2011-06-25,-1.0573
2011-07-02,0.2348
2011-07-09,0.3171
2011-07-16,1.6077
2011-07-23,-0.8377
2011-07-30,-0.2619
2011-08-06,0.5397
2011-08-13,2.7917
2011-08-20,1.8996
2011-08-27,-0.9811
