date,value
2005-01-08,0.2278
2005-01-15,0.218
2005-01-22,0.1558
2005-01-29,0.271
2005-02-05,0.3571
2005-02-12,0.0678
2005-02-19,0.3429
2005-02-26,0.1811
2005-03-05,0.3456
2005-03-12,0.5211
2005-03-19,0.0554
2005-03-26,0.1264
2005-04-02,-0.0584
2005-04-09,0.3031
2005-04-16,-0.1261
2005-04-23,-0.042
2005-04-30,-0.0111
2005-05-07,0.067
2005-05-14,-0.0365
2005-05-21,0.1979
2005-05-28,-0.0497
2005-06-04,0.099
2005-06-11,-0.281
2005-06-18,0.2785
2005-06-25,0.1712
2005-07-02,0.0742
2005-07-09,0.4255
2005-07-16,0.437
2005-07-23,0.1267
2005-07-30,0.3339
2005-08-06,0.4949
2005-08-13,0.7223
2005-08-20,0.4477
2005-08-27,0.3847
2005-09-03,0.2498
2005-09-10,0.6865
2005-09-17,0.3909
2005-09-24,-0.089
2005-10-01,0.4839
2005-10-08,0.1268
2005-10-15,0.4069
2005-10-22,0.046
2005-10-29,0.3472
2005-11-05,0.6559
2005-11-12,0.2617
2005-11-19,0.5595
2005-11-26,0.1343
2005-12-03,0.6202
2005-12-10,0.1659
2005-12-17,0.2229
2005-12-24,0.3624
2005-12-31,0.1632
2006-01-07,0.2326
2006-01-14,0.1157
2006-01-21,0.2464
2006-01-28,0.3519
2006-02-04,0.2982
2006-02-11,-0.229
2006-02-18,0.331
2006-02-25,0.3664
2006-03-04,0.2546
2006-03-11,0.0621
2006-03-18,0.4851
2006-03-25,0.2983
2006-04-01,0.671
2006-04-08,0.6123
2006-04-15,-0.1945
2006-04-22,0.2524
2006-04-29,-0.3281
2006-05-06,0.0712
2006-05-13,0.1231
2006-05-20,-0.4835
2006-05-27,-0.2229
2006-06-03,0.3295
2006-06-10,-0.4308
2006-06-17,-0.0146
2006-06-24,-0.3341
2006-07-01,0.2805
2006-07-08,0.2085
2006-07-15,-0.3167
2006-07-22,0.0203
2006-07-29,0.228
2006-08-05,0.1879
2006-08-12,0.1332
2006-08-19,0.6747
2006-08-26,-0.2983
2006-09-02,0.1514
2006-09-09,0.2284
2006-09-16,0.0035
2006-09-23,-0.0703
2006-09-30,0.4484
2006-10-07,0.3397
2006-10-14,0.1956
2006-10-21,0.3401
2006-10-28,0.3913
2006-11-04,-0.2425
2006-11-11,-0.0504
2006-11-18,0.1037
2006-11-25,0.2955
2006-12-02,0.3889
2006-12-09,0.4623
2006-12-16,0.617
2006-12-23,0.3805
2006-12-30,0.1327
2007-01-13,0.2763
2007-01-20,0.6483
2007-01-27,0.4831
2007-02-03,0.5046
2007-02-10,0.4878
2007-02-17,0.5557
2007-02-24,0.6182
2007-03-03,-0.02
2007-03-10,-0.4298
2007-03-17,-0.0998
2007-03-24,0.4453
2007-03-31,0.0312
2007-04-07,0.4801
2007-04-14,0.3185
2007-04-21,0.4618
2007-04-28,-0.3797
2007-05-05,0.0365
2007-05-12,0.1382
2007-05-19,0.2173
2007-05-26,0.2613
2007-06-02,0.6202
2007-06-09,0.4036
2007-06-16,0.5524
2007-06-23,-0.4405
2007-06-30,0.4149
2007-07-07,0.7618
2007-07-14,0.1399
2007-07-21,0.2393
2007-07-28,-0.2952
2007-08-04,-0.2643
2007-08-11,-0.3235
2007-08-18,-0.818
2007-08-25,0.0052
2007-09-01,0.0089
2007-09-08,-0.0442
2007-09-15,-0.603
2007-09-22,-0.1567
2007-09-29,0.2235
2007-10-06,0.2749
2007-10-13,0.1747
2007-10-20,-0.3212
2007-10-27,0.0434
2007-11-03,0.2022
2007-11-10,-0.3917
2007-11-17,-0.3056
2007-11-24,-0.3728
2007-12-01,0.1345
2007-12-08,-0.0537
