date,value
2005-01-08,0.9811
2005-01-15,0.3045
2005-01-22,-0.1458
2005-01-29,-0.4243
2005-02-05,0.2459
2005-02-12,-0.7507
2005-02-19,-0.396
2005-02-26,0.274
2005-03-05,-0.6331
2005-03-12,-0.2463
2005-03-19,0.1945
2005-03-26,-0.2659
2005-04-02,0.3985
2005-04-09,1.0124
2005-04-16,0.783
2005-04-23,1.4747
2005-04-30,0.489
2005-05-07,0.9754
2005-05-14,1.6308
2005-05-21,-0.7266
2005-05-28,0.3081
2005-06-04,0.2326
2005-06-11,0.4898
2005-06-18,-0.7283
2005-06-25,1.8109
2005-07-02,-0.2597
2005-07-09,0.2713
2005-07-16,0.5073
2005-07-23,1.2499
2005-07-30,-0.0011
2005-08-06,0.0615
2005-08-13,0.1072
2005-08-20,0.1583
2005-08-27,0.2181
2005-09-03,0.8434
2005-09-10,0.7882
2005-09-17,-0.834
2005-09-24,0.1203
2005-10-01,0.2775
2005-10-08,1.639
2005-10-15,0.234
2005-10-22,0.674
2005-10-29,0.7789
2005-11-05,0.8011
2005-11-12,0.0716
2005-11-19,0.2481
2005-11-26,0.0304
2005-12-03,-0.0547
2005-12-10,0.6721
2005-12-17,0.5844
2005-12-24,0.2068
2005-12-31,-0.0102
2006-01-07,0.0283
2006-01-14,0.1012
2006-01-21,-0.2299
2006-01-28,-0.2969
2006-02-04,-0.1177
2006-02-11,0.1479
2006-02-18,-0.2419
2006-02-25,-0.1358
2006-03-04,0.2773
2006-03-11,-0.2509
2006-03-18,-1.48
2006-03-25,-0.7236
2006-04-01,-0.2515
2006-04-08,0.3195
2006-04-15,-0.1219
2006-04-22,0.4536
2006-04-29,0.7025
2006-05-06,0.2332
2006-05-13,0.4218
2006-05-20,0.1262
2006-05-27,0.5104
2006-06-03,0.1803
2006-06-10,-0.1211
2006-06-17,-0.1374
2006-06-24,0.2308
2006-07-01,0.5762
2006-07-08,0.774
2006-07-15,0.1277
2006-07-22,0.1151
2006-07-29,-0.1868
2006-08-05,0.9355
2006-08-12,-0.0193
2006-08-19,0.6009
2006-08-26,0.8257
2006-09-02,-0.0692
2006-09-09,0.1709
2006-09-16,-0.004
2006-09-23,0.2648
2006-09-30,-0.8256
2006-10-07,0.825
2006-10-14,-0.3572
2006-10-21,0.4712
2006-10-28,0.6738
2006-11-04,0.1183
2006-11-11,0.9247
2006-11-18,-0.3629
2006-11-25,0.2949
2006-12-02,0.3177
2006-12-09,0.1166
2006-12-16,-0.3057
2006-12-23,0.0617
2006-12-30,0.2317
2007-01-13,0.2594
2007-01-20,-0.1289
2007-01-27,-0.0617
2007-02-03,-0.4952
2007-02-10,-0.3098
2007-02-17,-0.4133
2007-02-24,-0.2462
2007-03-03,-0.7257
2007-03-10,0.2154
2007-03-17,-0.0055
2007-03-24,0.0778
2007-03-31,-0.0744
2007-04-07,0.7463
2007-04-14,0.423
2007-04-21,0.3574
2007-04-28,-0.4216
2007-05-05,0.0735
2007-05-12,0.6061
2007-05-19,0.0991
2007-05-26,-0.3707
2007-06-02,0.3766
2007-06-09,-0.4911
2007-06-16,-0.1474
2007-06-23,-0.2293
2007-06-30,-0.1121
2007-07-07,0.5373
2007-07-14,-0.2788
2007-07-21,-0.5394
2007-07-28,0.0013
2007-08-04,-0.365
2007-08-11,0.016
2007-08-18,-0.6322
2007-08-25,-0.5422
