date,value
1991-05-01,0.0139
1991-06-01,0.0424
1991-08-01,0.0139
1992-01-01,0.0063
1992-02-01,0.0896
1992-03-01,0.0387
1992-04-01,0.2036
1992-05-01,0.1673
1992-06-01,0.1477
1992-07-01,0.0478
1992-08-01,0.016
1993-04-01,0.6756
1993-05-01,0.4971
1993-06-01,0.5386
1993-07-01,0.0366
1993-08-01,0.7883
1993-09-01,0.0218
1994-02-01,0.2445
1994-03-01,0.3158
1994-04-01,0.2637
1994-05-01,0.0824
1994-06-01,0.4678
1994-07-01,0.1056
1994-08-01,0.1494
1994-09-01,0.0789
1994-10-01,0.1913
1994-11-01,0.1645
1995-02-01,0.1183
1995-03-01,1.6771
1995-04-01,0.4986
1995-05-01,0.0635
1995-06-01,0.043
1995-07-01,0.0579
1995-08-01,0.8174
1995-09-01,1.6831
1996-02-01,1.6037
1997-11-01,0.0693
1997-12-01,1.0591
1998-04-01,2.8158
1998-06-01,0.2312
1999-01-01,0.6563
1999-06-01,3.0392
1999-07-01,1.3681
1999-09-01,1.0195
1999-11-01,1.1875
1999-12-01,0.3704
2000-01-01,0.5753
2000-03-01,1.0689
2000-04-01,1.3854
2000-09-01,0.1435
2001-09-01,3.2107
2002-05-01,2.1174
2002-06-01,1.8988
2003-01-01,0.6781
2003-02-01,1.1424
2003-03-01,0.5664
2003-05-01,3.9826
2003-06-01,0.6289
2003-07-01,2.0271
2003-08-01,0.4124
2003-09-01,5.1116
2003-10-01,1.6687
2003-11-01,1.5872
2003-12-01,2.6196
2004-01-01,6.8215
2004-02-01,3.4766
2004-03-01,4.5332
2010-09-01,2.1249
2011-03-01,0.6925
2011-08-01,4.5129
2011-10-01,8.0722
2011-11-01,1.0195
2022-09-01,2.8382
2022-10-01,6.3498
2024-04-01,5.9185
2024-05-01,3.87
2024-07-01,5.5348
