date,value,yoy_pct
2003-02-12,0.7061,
2003-02-19,0.7229,
2003-02-26,0.7142,
2003-03-05,0.7152,
2003-03-12,0.7093,
2003-03-19,0.7237,
2003-03-26,0.7179,
2003-04-02,0.7255,
2003-04-09,0.719,
2003-04-16,0.7371,
2003-04-23,0.721,
2003-04-30,0.7353,
2003-05-07,0.7241,
2003-05-14,0.731,
2003-05-21,0.7256,
2003-05-28,0.7371,
2003-06-04,0.7239,
2003-06-11,0.7355,
2003-06-18,0.7265,
2003-06-25,0.7333,
2003-07-02,0.7305,
2003-07-09,0.7347,
2003-07-16,0.7278,
2003-07-23,0.7361,
2003-07-30,0.7306,
2003-08-06,0.7249,
2003-08-13,0.7263,
2003-08-20,0.7417,
2003-08-27,0.7312,
2003-09-03,0.7421,
2003-09-10,0.729,
2003-09-17,0.7344,
2003-09-24,0.7302,
2003-10-01,0.7427,
2003-10-08,0.7284,
2003-10-15,0.747,
2003-10-22,0.7347,
2003-10-29,0.7386,
2003-11-05,0.7357,
2003-11-12,0.738,
2003-11-19,0.7371,
2003-11-26,0.749,
2003-12-03,0.7418,
2003-12-10,0.7489,
2003-12-17,0.7465,
2003-12-24,0.7606,
2003-12-31,0.764,
2004-01-07,0.748,
2004-01-14,0.7457,
2004-01-21,0.7662,
2004-01-28,0.7479,
2004-02-04,0.747,
2004-02-11,0.7434,
2004-02-18,0.7515,6.43
2004-02-25,0.7433,2.82
2004-03-03,0.747,4.59
2004-03-10,0.7422,3.78
2004-03-17,0.7527,6.12
2004-03-24,0.7439,2.79
2004-03-31,0.7532,4.92
2004-04-07,0.7468,2.94
2004-04-14,0.7563,5.19
2004-04-21,0.7491,1.63
2004-04-28,0.7632,5.85
2004-05-05,0.7506,2.08
2004-05-12,0.7571,4.56
2004-05-19,0.7493,2.5
2004-05-26,0.7636,5.24
2004-06-02,0.7577,2.79
2004-06-09,0.7652,5.71
2004-06-16,0.7534,2.43
2004-06-23,0.766,5.44
2004-06-30,0.7714,5.2
2004-07-07,0.7714,5.6
2004-07-14,0.7685,4.6
2004-07-21,0.769,5.66
2004-07-28,0.7667,4.16
2004-08-04,0.7651,4.72
2004-08-11,0.762,5.12
2004-08-18,0.7609,4.76
2004-08-25,0.7684,3.6
2004-09-01,0.7777,6.36
2004-09-08,0.7814,5.3
2004-09-15,0.7816,7.22
2004-09-22,0.7729,5.24
2004-09-29,0.779,6.68
2004-10-06,0.7742,4.24
2004-10-13,0.7886,8.26
2004-10-20,0.7775,4.08
2004-10-27,0.7841,6.72
2004-11-03,0.783,6.01
2004-11-10,0.7932,7.82
2004-11-17,0.787,6.64
2004-11-24,0.8033,8.98
2004-12-01,0.7996,6.76
2004-12-08,0.8013,8.02
2004-12-15,0.7997,6.78
2004-12-22,0.804,7.7
2004-12-29,0.8041,5.72
2005-01-05,0.8078,5.73
2005-01-12,0.7911,5.76
2005-01-19,0.7999,7.27
2005-01-26,0.7998,4.39
2005-02-02,0.7974,6.62
2005-02-09,0.7901,5.77
2005-02-16,0.7884,6.05
2005-02-23,0.7971,6.07
2005-03-02,0.7938,6.79
2005-03-09,0.7927,6.12
2005-03-16,0.7998,7.76
2005-03-23,0.7899,4.94
2005-03-30,0.8007,7.64
2005-04-06,0.7898,4.86
2005-04-13,0.7983,6.9
2005-04-20,0.7943,5.02
2005-04-27,0.802,7.06
2005-05-04,0.7953,4.21
2005-05-11,0.8011,6.73
2005-05-18,0.7941,4.89
2005-05-25,0.803,7.17
2005-06-01,0.8102,6.1
2005-06-08,0.8071,6.52
2005-06-15,0.8034,4.99
2005-06-22,0.8032,6.61
2005-06-29,0.8031,4.84
2005-07-06,0.8155,5.72
2005-07-13,0.8018,3.94
2005-07-20,0.8091,5.28
2005-07-27,0.8071,4.95
2005-08-03,0.8116,5.86
2005-08-10,0.8013,4.73
2005-08-17,0.8067,5.87
2005-08-24,0.8039,5.65
2005-08-31,0.8161,6.21
2005-09-07,0.8155,4.86
2005-09-14,0.8164,4.48
2005-09-21,0.8044,2.92
2005-09-28,0.8162,5.6
2005-10-05,0.81,3.98
2005-10-12,0.8193,5.83
2005-10-19,0.8075,2.4
2005-10-26,0.8117,4.4
2005-11-02,0.8073,2.96
2005-11-09,0.8177,4.43
2005-11-16,0.8165,2.94
2005-11-23,0.8258,4.93
