date,value,yoy_pct
1959-01-01,987.9352,
1959-02-01,992.069,
1959-03-01,998.2741,
1959-04-01,1001.0352,
1959-05-01,1006.1983,
1959-06-01,1010.3057,
1959-07-01,1012.693,
1959-08-01,1015.7642,
1959-09-01,1014.359,
1959-10-01,1010.2215,
1959-11-01,1012.2658,
1959-12-01,1012.5808,
1960-01-01,1015.3218,2.77
1960-02-01,1014.6209,2.27
1960-03-01,1017.6811,1.94
1960-04-01,1015.9106,1.49
1960-05-01,1017.5854,1.13
1960-06-01,1020.9389,1.05
1960-07-01,1029.1032,1.62
1960-08-01,1036.4742,2.04
1960-09-01,1041.54,2.68
1960-10-01,1040.3361,2.98
1960-11-01,1043.9893,3.13
1960-12-01,1047.9705,3.5
1961-01-01,1052.6139,3.67
1961-02-01,1060.6568,4.54
1961-03-01,1066.689,4.82
1961-04-01,1073.1298,5.63
1961-05-01,1079.7587,6.11
1961-06-01,1086.7962,6.45
1961-07-01,1088.2353,5.75
1961-08-01,1094.1884,5.57
1961-09-01,1099.066,5.52
1961-10-01,1104.4029,6.16
1961-11-01,1112.0747,6.52
1961-12-01,1117.9607,6.68
1962-01-01,1123.502,6.73
1962-02-01,1129.5251,6.49
1962-03-01,1137.2224,6.61
1962-04-01,1143.661,6.57
1962-05-01,1149.1402,6.43
1962-06-01,1156.2397,6.39
1962-07-01,1160.8206,6.67
1962-08-01,1165.1255,6.48
1962-09-01,1166.6667,6.15
1962-10-01,1175.7735,6.46
1962-11-01,1184.3318,6.5
1962-12-01,1193.8776,6.79
1963-01-01,1199.7372,6.79
1963-02-01,1207.021,6.86
1963-03-01,1215.0115,6.84
1963-04-01,1224.7375,7.09
1963-05-01,1232.7106,7.27
1963-06-01,1236.1973,6.92
1963-07-01,1241.7726,6.97
1963-08-01,1247.4797,7.07
1963-09-01,1256.5104,7.7
1963-10-01,1262.7642,7.4
1963-11-01,1271.9298,7.4
1963-12-01,1273.3161,6.65
1964-01-01,1277.3109,6.47
1964-02-01,1286.3151,6.57
1964-03-01,1292.1784,6.35
