date,value,yoy_pct
2003-02-12,0.3846,
2003-02-19,0.3937,
2003-02-26,0.389,
2003-03-05,0.3889,
2003-03-12,0.3857,
2003-03-19,0.3935,
2003-03-26,0.3904,
2003-04-02,0.396,
2003-04-09,0.3925,
2003-04-16,0.4023,
2003-04-23,0.3936,
2003-04-30,0.4014,
2003-05-07,0.3959,
2003-05-14,0.3997,
2003-05-21,0.3967,
2003-05-28,0.403,
2003-06-04,0.3954,
2003-06-11,0.4017,
2003-06-18,0.3968,
2003-06-25,0.4005,
2003-07-02,0.3977,
2003-07-09,0.3999,
2003-07-16,0.3962,
2003-07-23,0.4007,
2003-07-30,0.3977,
2003-08-06,0.3929,
2003-08-13,0.3937,
2003-08-20,0.402,
2003-08-27,0.3963,
2003-09-03,0.4009,
2003-09-10,0.3938,
2003-09-17,0.3968,
2003-09-24,0.3945,
2003-10-01,0.4017,
2003-10-08,0.3939,
2003-10-15,0.404,
2003-10-22,0.3973,
2003-10-29,0.3995,
2003-11-05,0.3977,
2003-11-12,0.3989,
2003-11-19,0.3984,
2003-11-26,0.4049,
2003-12-03,0.3999,
2003-12-10,0.4037,
2003-12-17,0.4024,
2003-12-24,0.41,
2003-12-31,0.4119,
2004-01-07,0.4015,
2004-01-14,0.4003,
2004-01-21,0.4113,
2004-01-28,0.4014,
2004-02-04,0.4001,
2004-02-11,0.3982,
2004-02-18,0.4025,4.65
2004-02-25,0.3981,1.12
2004-03-03,0.3993,2.65
2004-03-10,0.3967,2.01
2004-03-17,0.4023,4.3
2004-03-24,0.3976,1.04
2004-03-31,0.4026,3.12
2004-04-07,0.3985,0.63
2004-04-14,0.4036,2.83
2004-04-21,0.3997,-0.65
2004-04-28,0.4073,3.48
2004-05-05,0.3988,-0.65
2004-05-12,0.4023,1.62
2004-05-19,0.3981,-0.4
2004-05-26,0.4057,2.27
2004-06-02,0.4011,-0.47
2004-06-09,0.4051,2.45
2004-06-16,0.3988,-0.72
2004-06-23,0.4055,2.19
2004-06-30,0.4084,1.97
2004-07-07,0.4079,2.56
2004-07-14,0.4064,1.63
2004-07-21,0.4067,2.65
2004-07-28,0.4054,1.17
2004-08-04,0.4044,1.68
2004-08-11,0.4027,2.49
2004-08-18,0.4022,2.16
2004-08-25,0.4061,1.02
2004-09-01,0.4097,3.38
2004-09-08,0.4117,2.69
2004-09-15,0.4118,4.57
2004-09-22,0.4072,2.62
2004-09-29,0.4104,4.03
2004-10-06,0.4058,1.02
2004-10-13,0.4133,4.93
2004-10-20,0.4075,0.87
2004-10-27,0.411,3.45
2004-11-03,0.4085,2.25
2004-11-10,0.4138,4.05
2004-11-17,0.4105,2.91
2004-11-24,0.419,5.17
2004-12-01,0.4171,3.01
2004-12-08,0.418,4.53
2004-12-15,0.4172,3.34
2004-12-22,0.4194,4.22
2004-12-29,0.4195,2.32
2005-01-05,0.4216,2.35
2005-01-12,0.4129,2.84
2005-01-19,0.4175,4.3
2005-01-26,0.4174,1.48
2005-02-02,0.4144,3.24
2005-02-09,0.4107,2.65
2005-02-16,0.4098,2.91
2005-02-23,0.4143,2.93
2005-03-02,0.4111,3.27
2005-03-09,0.4105,2.8
2005-03-16,0.4142,4.41
2005-03-23,0.4091,1.69
2005-03-30,0.4147,4.3
2005-04-06,0.4077,1.27
2005-04-13,0.4121,3.41
2005-04-20,0.4101,1.61
2005-04-27,0.414,3.58
2005-05-04,0.4108,0.86
2005-05-11,0.4138,3.76
2005-05-18,0.4102,1.96
2005-05-25,0.4148,4.19
2005-06-01,0.4183,3.11
2005-06-08,0.4167,3.89
2005-06-15,0.4148,2.39
2005-06-22,0.4147,3.99
2005-06-29,0.4146,2.24
2005-07-06,0.4184,2.45
2005-07-13,0.4114,0.86
2005-07-20,0.4151,2.14
2005-07-27,0.4141,1.82
2005-08-03,0.4139,2.1
2005-08-10,0.4086,1.04
