date,value
1999-01-01,2.63
1999-02-01,2.76
1999-03-01,2.81
1999-04-01,2.74
1999-05-01,3.24
1999-06-01,3.26
1999-07-01,3.49
1999-08-01,3.57
1999-09-01,3.72
1999-10-01,3.7
1999-11-01,3.92
1999-12-01,3.3
2000-01-01,3.45
2000-02-01,3.73
2000-03-01,3.6
2000-04-01,3.52
2000-05-01,3.52
2000-06-01,3.78
2000-07-01,3.29
2000-08-01,3.25
2000-09-01,3.02
2000-10-01,3.01
2000-11-01,2.76
2000-12-01,2.65
2001-01-01,2.23
2001-02-01,1.74
2001-03-01,1.56
2001-04-01,1.05
2001-05-01,0.46
2001-06-01,0.47
2001-07-01,0.27
2001-08-01,0.15
2001-09-01,-0.18
2001-10-01,-0.26
2001-11-01,-0.66
2001-12-01,-0.43
2002-01-01,-0.52
2002-02-01,-0.51
2002-03-01,-0.52
2002-04-01,-0.5
2002-05-01,-0.5
2002-06-01,-0.5
2002-07-01,-0.52
2002-08-01,-0.51
2002-09-01,-0.5
2002-10-01,-0.5
2002-11-01,-0.91
2002-12-01,-1.01
2003-01-01,-0.51
2003-02-01,-0.49
2003-03-01,-0.5
2003-04-01,-0.24
2003-05-01,-0.24
2003-06-01,-0.28
2003-07-01,0.01
2003-08-01,0.03
2003-09-01,0.01
2003-10-01,0.01
2003-11-01,0.0
2003-12-01,-0.02
2004-01-01,0.0
2004-02-01,0.01
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.03
2004-07-01,0.26
2004-08-01,0.43
2004-09-01,0.61
2004-10-01,0.76
2004-11-01,0.93
2004-12-01,1.16
2005-01-01,1.28
2005-02-01,1.5
2005-03-01,1.63
2005-04-01,1.79
2005-05-01,2.0
2005-06-01,2.04
2005-07-01,2.26
2005-08-01,2.5
2005-09-01,2.62
2005-10-01,2.78
2005-11-01,3.0
2005-12-01,3.16
2006-01-01,3.04
2006-02-01,3.24
2006-03-01,3.34
2006-04-01,3.29
2006-05-01,3.44
2006-06-01,3.49
2006-07-01,3.49
2006-08-01,3.5
2006-09-01,3.25
2006-10-01,3.25
2006-11-01,3.0
2006-12-01,2.99
2007-01-01,2.75
2007-02-01,2.76
2007-03-01,2.76
2007-04-01,2.5
2007-05-01,2.5
2007-06-01,2.5
2007-07-01,2.26
2007-08-01,2.02
2007-09-01,1.94
2007-10-01,1.76
2007-11-01,1.49
2007-12-01,1.24
2008-01-01,0.94
2008-02-01,-0.02
2008-03-01,-0.39
2008-04-01,-0.72
2008-05-01,-1.02
2008-06-01,-1.0
2008-07-01,-0.99
2008-08-01,-1.25
2008-09-01,-1.44
2008-10-01,-2.28
2008-11-01,-2.86
2008-12-01,-2.59
2009-01-01,-1.85
2009-02-01,-0.78
2009-03-01,-0.82
2009-04-01,-0.35
2009-05-01,-0.07
2009-06-01,-0.04
2009-07-01,-0.09
2009-08-01,-0.09
2009-09-01,-0.1
2009-10-01,-0.13
2009-11-01,-0.13
2009-12-01,-0.13
2010-01-01,-0.14
2010-02-01,-0.12
2010-03-01,-0.09
2010-04-01,-0.05
2010-05-01,-0.05
2010-06-01,-0.07
2010-07-01,-0.07
2010-08-01,-0.06
2010-09-01,-0.06
2010-10-01,-0.06
2010-11-01,-0.06
2010-12-01,-0.07
2011-01-01,-0.08
2011-02-01,-0.09
2011-03-01,-0.11
2011-04-01,-0.15
2011-05-01,-0.41
2011-06-01,-0.41
2011-07-01,-0.43
2011-08-01,-0.65
2011-09-01,-0.67
2011-10-01,-0.68
2011-11-01,-0.67
2011-12-01,-0.43
2012-01-01,-0.17
2012-02-01,-0.15
2012-03-01,-0.12
2012-04-01,-0.11
2012-05-01,-0.09
2012-06-01,-0.09
2012-07-01,-0.09
2012-08-01,0.13
2012-09-01,0.14
2012-10-01,0.16
2012-11-01,0.16
2012-12-01,0.16
2013-01-01,0.14
2013-02-01,0.15
2013-03-01,0.14
2013-04-01,0.15
2013-05-01,0.11
2013-06-01,0.09
2013-07-01,0.09
2013-08-01,0.08
2013-09-01,0.08
2013-10-01,0.09
2013-11-01,0.08
2013-12-01,0.09
2014-01-01,0.07
2014-02-01,0.07
2014-03-01,0.08
2014-04-01,0.09
2014-05-01,0.09
2014-06-01,0.1
2014-07-01,0.19
2014-08-01,0.19
2014-09-01,0.19
2014-10-01,0.29
2014-11-01,0.29
2014-12-01,0.32
2015-01-01,0.31
2015-02-01,0.31
2015-03-01,0.31
2015-04-01,0.32
2015-05-01,0.32
2015-06-01,0.33
2015-07-01,0.33
2015-08-01,0.34
2015-09-01,0.34
2015-10-01,0.32
2015-11-01,0.32
2015-12-01,0.44
2016-01-01,0.64
2016-02-01,0.68
2016-03-01,0.66
2016-04-01,0.77
2016-05-01,0.77
2016-06-01,0.78
2016-07-01,0.79
2016-08-01,0.8
2016-09-01,0.8
2016-10-01,0.8
2016-11-01,0.81
2016-12-01,0.94
2017-01-01,1.05
2017-02-01,1.06
2017-03-01,1.19
2017-04-01,1.3
2017-05-01,1.31
2017-06-01,1.44
2017-07-01,1.55
2017-08-01,1.56
2017-09-01,1.55
2017-10-01,1.55
2017-11-01,1.56
2017-12-01,1.7
2018-01-01,1.81
2018-02-01,1.82
2018-03-01,1.91
2018-04-01,2.09
2018-05-01,2.1
2018-06-01,2.22
2018-07-01,2.31
2018-08-01,2.31
2018-09-01,2.35
2018-10-01,2.59
2018-11-01,2.6
2018-12-01,2.67
2019-01-01,2.8
2019-02-01,2.8
2019-03-01,2.81
2019-04-01,2.82
2019-05-01,2.79
2019-06-01,2.78
2019-07-01,2.8
2019-08-01,2.53
2019-09-01,2.44
2019-10-01,2.33
2019-11-01,2.05
2019-12-01,2.05
2020-01-01,2.05
2020-02-01,2.08
2020-03-01,1.15
2020-04-01,0.55
2020-05-01,0.55
2020-06-01,0.58
2020-07-01,0.59
2020-08-01,0.6
2020-09-01,0.59
2020-10-01,0.59
2020-11-01,0.59
2020-12-01,0.59
2021-01-01,0.59
2021-02-01,0.58
2021-03-01,0.57
2021-04-01,0.57
2021-05-01,0.56
2021-06-01,0.58
2021-07-01,0.6
2021-08-01,0.59
2021-09-01,0.58
2021-10-01,0.58
2021-11-01,0.58
2021-12-01,0.58
2022-01-01,0.58
2022-02-01,0.58
2022-03-01,0.7
2022-04-01,0.83
2022-05-01,1.27
2022-06-01,1.71
2022-07-01,2.18
2022-08-01,2.33
2022-09-01,2.56
2022-10-01,2.33
2022-11-01,3.03
2022-12-01,2.6
2023-01-01,2.33
2023-02-01,2.57
2023-03-01,2.15
2023-04-01,1.83
2023-05-01,2.06
2023-06-01,1.83
2023-07-01,1.62
2023-08-01,1.83
2023-09-01,1.58
2023-10-01,1.33
2023-11-01,1.33
2023-12-01,1.33
2024-01-01,1.33
2024-02-01,1.33
2024-03-01,1.33
2024-04-01,1.33
2024-05-01,1.33
2024-06-01,1.33
2024-07-01,1.58
2024-08-01,1.58
2024-09-01,1.38
2024-10-01,1.33
2024-11-01,1.39
2024-12-01,1.23
2025-01-01,1.33
2025-02-01,1.33
2025-03-01,1.58
2025-04-01,1.83
2025-05-01,2.08
2025-06-01,2.08
2025-07-01,2.33
2025-08-01,2.33
2025-09-01,2.22
2025-10-01,2.09
2025-11-01,1.88
2025-12-01,1.72
2026-01-01,1.64
2026-02-01,1.64
2026-03-01,1.64
2026-04-01,1.64
2026-05-01,1.63
2026-06-01,1.63
