date,value
1989-01-03,4.43
1989-01-04,4.42
1989-01-05,4.47
1989-01-06,4.45
1989-01-09,4.43
1989-01-10,4.44
1989-01-11,4.44
1989-01-12,4.34
1989-01-13,4.26
1989-01-17,4.26
1989-01-18,4.19
1989-01-19,4.2
1989-01-20,4.23
1989-01-23,4.2
1989-01-24,4.13
1989-01-25,4.19
1989-01-26,4.19
1989-01-27,4.15
1989-01-30,4.2
1989-01-31,4.21
1989-02-01,4.096
1989-02-02,4.086
1989-02-03,4.116
1989-02-06,4.116
1989-02-07,4.066
1989-02-08,4.056
1989-02-09,4.236
1989-02-10,4.296
1989-02-13,4.306
1989-02-14,4.336
1989-02-15,4.326
1989-02-16,4.316
1989-02-17,4.306
1989-02-21,4.326
1989-02-22,4.396
1989-02-23,4.466
1989-02-24,4.486
1989-02-27,4.466
1989-02-28,4.426
1989-03-01,4.213
1989-03-02,4.163
1989-03-03,4.163
1989-03-06,4.113
1989-03-07,4.113
1989-03-08,4.083
1989-03-09,4.093
1989-03-10,4.193
1989-03-13,4.203
1989-03-14,4.173
1989-03-15,4.163
1989-03-16,4.153
1989-03-17,4.343
1989-03-20,4.383
1989-03-21,4.383
1989-03-22,4.303
1989-03-23,4.283
1989-03-27,4.293
1989-03-28,4.263
1989-03-29,4.213
1989-03-30,4.193
1989-03-31,4.153
1989-04-03,3.989
1989-04-04,3.949
1989-04-05,3.949
1989-04-06,3.979
1989-04-07,4.049
1989-04-10,4.049
1989-04-11,4.049
1989-04-12,4.069
1989-04-13,4.119
1989-04-14,3.959
1989-04-17,3.979
1989-04-18,3.839
1989-04-19,3.859
1989-04-20,3.979
1989-04-21,3.929
1989-04-24,3.929
1989-04-25,3.899
1989-04-26,3.889
1989-04-27,3.829
1989-04-28,3.799
1989-05-01,3.966
1989-05-02,3.906
1989-05-03,3.886
1989-05-04,3.886
1989-05-05,3.816
1989-05-08,3.866
1989-05-09,3.976
1989-05-10,3.986
1989-05-11,3.926
1989-05-12,3.636
1989-05-15,3.646
1989-05-16,3.646
1989-05-17,3.626
1989-05-18,3.606
1989-05-19,3.536
1989-05-22,3.406
1989-05-23,3.426
1989-05-24,3.456
1989-05-25,3.496
1989-05-26,3.486
1989-05-30,3.466
1989-05-31,3.426
1989-06-01,3.385
1989-06-02,3.205
1989-06-05,3.135
1989-06-06,3.135
1989-06-07,3.045
1989-06-08,3.045
1989-06-09,2.925
1989-06-12,2.935
1989-06-13,3.025
1989-06-14,2.975
1989-06-15,3.105
1989-06-16,3.125
1989-06-19,3.145
1989-06-20,3.085
1989-06-21,3.145
1989-06-22,3.155
1989-06-23,3.025
1989-06-26,2.955
1989-06-27,2.885
1989-06-28,2.945
1989-06-29,2.895
1989-06-30,2.875
1989-07-03,3.05
1989-07-05,3.07
1989-07-06,3.04
1989-07-07,2.98
1989-07-10,2.95
1989-07-11,2.96
1989-07-12,2.96
1989-07-13,2.96
1989-07-14,3.0
1989-07-17,3.01
1989-07-18,3.09
1989-07-19,3.05
1989-07-20,2.97
1989-07-21,3.03
1989-07-24,3.01
1989-07-25,2.97
1989-07-26,2.98
1989-07-27,2.88
1989-07-28,2.83
1989-07-31,2.78
1989-08-01,2.857
1989-08-02,2.877
1989-08-03,2.917
1989-08-04,3.117
1989-08-07,3.147
1989-08-08,3.117
1989-08-09,3.167
1989-08-10,3.137
1989-08-11,3.207
1989-08-14,3.357
1989-08-15,3.327
1989-08-16,3.237
1989-08-17,3.297
1989-08-18,3.267
1989-08-21,3.317
1989-08-22,3.407
1989-08-23,3.367
1989-08-24,3.317
1989-08-25,3.327
1989-08-28,3.387
1989-08-29,3.387
1989-08-30,3.367
1989-08-31,3.377
1989-09-01,3.094
1989-09-05,3.094
1989-09-06,3.074
1989-09-07,3.074
1989-09-08,3.044
1989-09-11,3.034
1989-09-12,3.034
1989-09-13,3.084
1989-09-14,3.034
1989-09-15,2.994
1989-09-18,3.004
1989-09-19,2.994
1989-09-20,3.054
1989-09-21,3.104
1989-09-22,3.124
1989-09-25,3.224
1989-09-26,3.204
1989-09-27,3.204
1989-09-28,3.204
1989-09-29,3.214
1989-10-02,3.124
1989-10-03,3.074
