date,value,yoy_pct
1973-01-03,567.2553,
1973-01-10,565.5054,
1973-01-17,565.3477,
1973-01-24,565.1737,
1973-01-31,569.7089,
1973-02-07,571.2254,
1973-02-14,573.5717,
1973-02-21,574.7042,
1973-02-28,577.518,
1973-03-07,581.5757,
1973-03-14,582.7181,
1973-03-21,584.2137,
1973-03-28,586.1701,
1973-04-04,587.5392,
1973-04-11,589.1442,
1973-04-18,589.1377,
1973-04-25,591.1341,
1973-05-02,593.4399,
1973-05-09,594.5321,
1973-05-16,594.4818,
1973-05-23,595.4865,
1973-05-30,598.963,
1973-06-06,601.5,
1973-06-13,602.8771,
1973-06-20,603.5501,
1973-06-27,605.4626,
1973-07-04,606.8473,
1973-07-11,609.9411,
1973-07-18,608.9051,
1973-07-25,610.7133,
1973-08-01,613.3477,
1973-08-08,614.9775,
1973-08-15,618.6221,
1973-08-22,615.5519,
1973-08-29,616.2351,
1973-09-05,620.4894,
1973-09-12,621.1427,
1973-09-19,620.4723,
1973-09-26,622.0711,
1973-10-03,623.3404,
1973-10-10,626.2011,
1973-10-17,623.7863,
1973-10-24,625.8254,
1973-10-31,627.4142,
1973-11-07,632.1742,
1973-11-14,629.6947,
1973-11-21,631.272,
1973-11-28,631.6332,
1973-12-05,636.3865,
1973-12-12,638.7466,
1973-12-19,640.099,
1973-12-26,645.2428,
1974-01-02,644.9049,
1974-01-09,643.2164,13.39
1974-01-16,644.2714,13.93
1974-01-23,645.1132,14.11
1974-01-30,645.0434,14.13
1974-02-06,647.3202,13.62
1974-02-13,646.7248,13.22
1974-02-20,648.1402,13.0
1974-02-27,649.7123,13.05
1974-03-06,654.7801,13.38
1974-03-13,655.7101,12.75
1974-03-20,657.4908,12.83
1974-03-27,660.8952,13.13
1974-04-03,666.7548,13.75
1974-04-10,668.9034,13.85
1974-04-17,671.3413,13.95
1974-04-24,670.7133,13.85
1974-05-01,674.2538,14.06
1974-05-08,673.7612,13.53
1974-05-15,675.6747,13.65
1974-05-22,674.9901,13.54
1974-05-29,676.3028,13.57
1974-06-05,679.3084,13.41
1974-06-12,681.1222,13.24
1974-06-19,682.6979,13.24
1974-06-26,683.8853,13.31
1974-07-03,686.078,13.31
1974-07-10,686.1277,13.06
1974-07-17,686.2906,12.52
1974-07-24,686.3538,12.72
1974-07-31,690.3408,13.04
